"","gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT1G62360","AT1G62360","Chir02Ox-b03100.2","STM",1.91454529117982,0.584,0.002,0,0,"Yes","TALE","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance","GEP_5and DEGs"
"AT3G21510","AT3G21510","Chir03Ox-b21630.2","AHP1",1.02761505555102,0.461,0.004,0,0,NA,NA,"cytokinin-activated signaling pathway, cytoplasm, embryo sac development, histidine phosphotransfer kinase activity, multidimensional cell growth, nucleus, phosphorelay signal transduction system, phosphorylation, positive regulation of cell division, protein binding, protein histidine kinase binding, regulation of cytokinin-activated signaling pathway, signal transduction","GEP_5and DEGs"
"AT4G08150","AT4G08150","Chir08Ox-b10180.2","KNAT1",3.03393712991036,0.719,0.004,0,0,"Yes","TALE","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development","GEP_5and DEGs"
"AT5G03840","AT5G03840","Chir06Ox-b35090.2","TFL1",1.5172126225626,0.183,0.004,0,0,NA,NA,"cytoplasm, meristem determinacy, negative regulation of flower development, nucleus, plasma membrane, protein targeting to vacuole, response to sucrose, transcription coregulator activity, vacuole, vegetative to reproductive phase transition of meristem, vesicle","GEP_5and DEGs"
"AT3G12500","AT3G12500","Chir03Ox-b11670.2","ATHCHIB",2.0996441260236,0.325,0.01,0,0,NA,NA,"cell wall macromolecule catabolic process, chitinase activity, defense response to fungus, extracellular region, intracellular anatomical structure, jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway, plant-type vacuole, secretory vesicle, vacuole","GEP_5and DEGs"
"AT1G13710","AT1G13710","Chir01Ox-b13690.2","CYP78A5",2.96834366861685,0.655,0.014,0,0,NA,NA,"chloroplast, endoplasmic reticulum, floral organ development, heme binding, iron ion binding, leaf formation, organ growth, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, positive regulation of cell population proliferation, positive regulation of organ growth, regulation of growth rate, regulation of meristem growth","GEP_5and DEGs"
"AT3G23290","AT3G23290","Chir03Ox-b23410.2","LSH4",2.62315257990019,0.886,0.015,0,0,NA,NA,"mitochondrion, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","GEP_5and DEGs"
"AT3G19200","AT3G19200","Chir03Ox-b19030.2","MVI11.12",1.31322636232526,0.461,0.017,0,0,NA,NA,"defense response to other organism, molecular_function, nucleus","GEP_5and DEGs"
"AT3G04510","AT3G04510","Chir03Ox-b03760.2","LSH2",1.75778795953423,0.724,0.019,0,0,NA,NA,"chemical homeostasis, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","GEP_5and DEGs"
"AT1G11580","AT1G11580","Chir01Ox-b11440.2","ATPMEPCRA",2.10686325896651,0.321,0.025,0,0,NA,NA,"cell wall modification, enzyme inhibitor activity, extracellular region, membrane, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity, plant-type cell wall, plant-type vacuole, response to bacterium, rRNA N-glycosylase activity","GEP_5and DEGs"
"AT1G70510","AT1G70510","Chir02Ox-b17040.2","KNAT2",1.36182923200864,0.637,0.002,0,0,"Yes","TALE","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity","DEGs"
"AT4G35900","AT4G35900","Chir07Ox-b33410.2","FD",1.26982558682999,0.47,0.024,0,0,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, photoperiodism, positive regulation of DNA-templated transcription, positive regulation of flower development, protein binding, protein self-association, regulation of DNA-templated transcription, regulation of flower development, regulation of photoperiodism, flowering","DEGs"
"AT1G16530","AT1G16530","Chir01Ox-b16570.2","LBD3",2.17871337581353,0.806,0.054,0,0,"Yes","LBD","cell differentiation, nucleus, root morphogenesis, tissue development, transcription cis-regulatory region binding","DEGs"
"AT1G28360","AT1G28360","Chir01Ox-b27110.2","ATERF12",1.25489678933666,0.595,0.106,1.13100151694957e-277,2.07617948466433e-273,"Yes","ERF","DNA binding, DNA-binding transcription factor activity, ethylene-activated signaling pathway, intracellular anatomical structure, nucleus, protein binding, regulation of DNA-templated transcription","DEGs"
"AT5G65640","AT5G65640","Chir08Ox-b28310.2","bHLH093",1.18068782317953,0.51,0.117,1.57257720671161e-173,2.88677997836049e-169,"Yes","bHLH","DNA-binding transcription factor activity, gibberellin catabolic process, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, sequence-specific DNA binding","DEGs"
"AT4G32980","AT4G32980","Chir07Ox-b30310.2","ATH1",1.20432279763278,0.677,0.147,3.89466827976697e-270,7.14944256116823e-266,"Yes","TALE","DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral organ abscission, meristem maintenance, negative regulation of cell population proliferation, nucleus, photomorphogenesis, protein binding, regulation of gibberellin biosynthetic process, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, shoot organ boundary specification, vegetative to reproductive phase transition of meristem","DEGs"
"AT3G44290","AT3G44290","Chir05Ox-b08940.2","ANAC060",1.06868300630436,0.633,0.151,5.54994530293426e-215,1.01880345925964e-210,"Yes","NAC","cellular response to glucose stimulus, DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription","DEGs"
"AT5G65510","AT5G65510","Chir08Ox-b28190.2","PLT7",1.20474572193856,0.733,0.221,2.45415869963114e-201,4.50509912491289e-197,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, phyllotactic patterning, protein binding, regulation of DNA-templated transcription","DEGs"
"AT2G24700","AT2G24700","Chir04Ox-b06150.2","AT2G24700.1",1.10023599286798,0.724,0.265,2.19208277666292e-160,4.02400635312012e-156,"Yes","B3","anatomical structure arrangement, chloroplast, floral whorl development, phyllome development, protein binding, tissue development","DEGs"
"AT4G24240","AT4G24240","Chir07Ox-b21290.2","WRKY7",1.23738675769344,0.786,0.285,9.79634753126282e-182,1.79831551631392e-177,"Yes","WRKY","calmodulin binding, cell death, defense response to bacterium, defense response to fungus, DNA-binding transcription factor activity, hormone-mediated signaling pathway, innate immune response, nucleus, protein binding, regulation of defense response, regulation of DNA-templated transcription, response to alcohol, response to light stimulus, response to lipid, response to organic cyclic compound, response to organonitrogen compound, response to oxidative stress, response to wounding, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"AT3G24450","AT3G24450","Chir03Ox-b24740.2","AtHMP27",1.11116132510103,0.367,0.019,0,0,NA,NA,"metal ion binding, response to light intensity","DEGs"
"AT5G57785","AT5G57785","Chir08Ox-b19950.2",NA,1.8274422182571,0.301,0.025,1.56525645527967e-293,2.8733412749569e-289,NA,NA,"biological_process, mitochondrion, molecular_function","DEGs"
"AT1G70830","AT1G70830","Chir02Ox-b17390.2","MLP28",1.34919779948759,0.102,0.029,5.01940591745945e-20,9.2141234426803e-16,NA,NA,"cell wall polysaccharide metabolic process, chloroplast, cytoplasm, cytosol, defense response, mitochondrion, molecular_function, nucleus","DEGs"
