"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT1G70510","Chir02Ox-b17040.2","KNAT2",1.36182923200864,0.637,0.002,0,0,"Yes","TALE","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity","DEGs"
"AT4G35900","Chir07Ox-b33410.2","FD",1.26982558682999,0.47,0.024,0,0,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, photoperiodism, positive regulation of DNA-templated transcription, positive regulation of flower development, protein binding, protein self-association, regulation of DNA-templated transcription, regulation of flower development, regulation of photoperiodism, flowering","DEGs"
"AT1G16530","Chir01Ox-b16570.2","LBD3",2.17871337581353,0.806,0.054,0,0,"Yes","LBD","cell differentiation, nucleus, root morphogenesis, tissue development, transcription cis-regulatory region binding","DEGs"
"AT1G28360","Chir01Ox-b27110.2","ATERF12",1.25489678933666,0.595,0.106,1.13100151694957e-277,2.07617948466433e-273,"Yes","ERF","DNA binding, DNA-binding transcription factor activity, ethylene-activated signaling pathway, intracellular anatomical structure, nucleus, protein binding, regulation of DNA-templated transcription","DEGs"
"AT5G65640","Chir08Ox-b28310.2","bHLH093",1.18068782317953,0.51,0.117,1.57257720671161e-173,2.88677997836049e-169,"Yes","bHLH","DNA-binding transcription factor activity, gibberellin catabolic process, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, sequence-specific DNA binding","DEGs"
"AT4G32980","Chir07Ox-b30310.2","ATH1",1.20432279763278,0.677,0.147,3.89466827976697e-270,7.14944256116823e-266,"Yes","TALE","DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral organ abscission, meristem maintenance, negative regulation of cell population proliferation, nucleus, photomorphogenesis, protein binding, regulation of gibberellin biosynthetic process, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, shoot organ boundary specification, vegetative to reproductive phase transition of meristem","DEGs"
"AT3G44290","Chir05Ox-b08940.2","ANAC060",1.06868300630436,0.633,0.151,5.54994530293426e-215,1.01880345925964e-210,"Yes","NAC","cellular response to glucose stimulus, DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription","DEGs"
"AT5G65510","Chir08Ox-b28190.2","PLT7",1.20474572193856,0.733,0.221,2.45415869963114e-201,4.50509912491289e-197,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, phyllotactic patterning, protein binding, regulation of DNA-templated transcription","DEGs"
"AT2G24700","Chir04Ox-b06150.2","AT2G24700.1",1.10023599286798,0.724,0.265,2.19208277666292e-160,4.02400635312012e-156,"Yes","B3","anatomical structure arrangement, chloroplast, floral whorl development, phyllome development, protein binding, tissue development","DEGs"
"AT4G24240","Chir07Ox-b21290.2","WRKY7",1.23738675769344,0.786,0.285,9.79634753126282e-182,1.79831551631392e-177,"Yes","WRKY","calmodulin binding, cell death, defense response to bacterium, defense response to fungus, DNA-binding transcription factor activity, hormone-mediated signaling pathway, innate immune response, nucleus, protein binding, regulation of defense response, regulation of DNA-templated transcription, response to alcohol, response to light stimulus, response to lipid, response to organic cyclic compound, response to organonitrogen compound, response to oxidative stress, response to wounding, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
