"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT2G18328","Chir03Ox-b32960.2","ATRL4",0.152,0.0015,"Yes","MYB_related","biological_process, cytosol, DNA-binding transcription factor activity, nucleus","DEGs"
"AT1G79430","Chir02Ox-b26600.2","WDY",0.957,0.0075,"Yes","G2-like","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development","DEGs"
"AT1G07640","Chir01Ox-b07120.2","OBP2",0.675,0.0175,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding","DEGs"
"AT5G24800","Chir06Ox-b14960.2","ATBZIP9",0.4215,0.0235,"Yes","bZIP","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"AT3G45610","Chir05Ox-b10420.2","AT3G45610.1",0.589,0.025,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding","DEGs"
"AT4G36710","Chir07Ox-b34150.2","HAM4",0.6815,0.04,"Yes","GRAS","cell differentiation, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of shoot system development, sequence-specific DNA binding","DEGs"
"AT1G69580","Chir02Ox-b16030.2","AT1G69580.1",0.602,0.043,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"AT4G24060","Chir07Ox-b21070.2","Dof4.6",0.6915,0.0765,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"AT4G37180","Chir07Ox-b34380.2","HHO5",0.745,0.2935,"Yes","G2-like","cytosol, DNA binding, DNA-binding transcription factor activity, floral organ formation, negative regulation of gene expression, nucleus, protein binding, regulation of DNA-templated transcription, specification of plant organ identity, transcription cis-regulatory region binding","DEGs"
"AT1G10120","Chir01Ox-b09820.2","CIB4",0.6635,0.2685,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, response to blue light, transcription cis-regulatory region binding","DEGs"
