"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT1G65620","AT1G65620","Chir02Ox-b11260.2","AT1G65620.1",0.4105,0.024,"Yes","LBD","adaxial/abaxial axis specification, nucleoplasm, nucleus, petal development, polarity specification of adaxial/abaxial axis, protein binding, proximal/distal pattern formation, specification of symmetry","DEGs",1
"AT1G58270","AT1G58270","Chir07Ox-b03220.2","AT1G58270.1",0.265,0.028,NA,NA,"carbohydrate derivative metabolic process, cell differentiation, cellular lipid metabolic process, defense response to other organism, developmental growth, lipid biosynthetic process, monocarboxylic acid metabolic process, nucleus, organic acid biosynthetic process, plant epidermis development, plant-type cell wall biogenesis, plasmodesma, response to alcohol, response to organonitrogen compound, response to water deprivation, response to wounding, root morphogenesis","GEP_43",2
"AT3G23050","AT3G23050","Chir03Ox-b23080.2","AXR2",0.276,0.028,NA,NA,"DNA-binding transcription factor activity, gravitropism, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, response to jasmonic acid, response to water deprivation, response to wounding, transcription cis-regulatory region binding","GEP_43",3
"AT5G55620","AT5G55620","Chir08Ox-b17580.2","MDF20.6",0.317,0.032,NA,NA,"cell differentiation, cellular_component, molecular_function, phyllome development, plant organ morphogenesis, response to light stimulus, vitamin metabolic process","GEP_43",4
"AT4G14550","AT4G14550","Chir07Ox-b10470.2","SLR",0.367,0.05,NA,NA,"DNA-binding transcription factor activity, lateral root morphogenesis, negative regulation of DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, transcription cis-regulatory region binding","GEP_43",5
"AT4G34250","AT4G34250","Chir07Ox-b31740.2","AT4G34250.1",0.436,0.054,NA,NA,"cytoplasm, fatty acid biosynthetic process, fatty acid elongation, response to light stimulus, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity","GEP_43",6
"AT5G15310","AT5G15310","Chir06Ox-b24060.2","ATMYB16",0.501,0.063,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_43 and DEGs",7
"AT1G26945","AT1G26945","Chir01Ox-b24250.2","PRE6",0.352,0.0645,"Yes","bHLH","nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of growth, response to light stimulus","DEGs",8
"AT5G22500","AT5G22500","Chir06Ox-b17250.2","AT5G22500.1",0.529,0.073,NA,NA,"alcohol-forming fatty acyl-CoA reductase activity, chloroplast, fatty-acyl-CoA reductase (alcohol-forming) activity, intracellular membrane-bounded organelle, long-chain fatty-acyl-CoA metabolic process, long-chain-fatty-acyl-CoA reductase activity, plasma membrane, response to salt stress, response to wounding, suberin biosynthetic process","DEGs",9
"AT3G51600","AT3G51600","Chir05Ox-b16920.2","AT3G51600.1",0.38,0.074,NA,NA,"cytosol, extracellular region, lipid transport, lipid transporter activity, plant-type cell wall, plasmodesma","GEP_43",10
"AT5G14410","AT5G14410","Chir06Ox-b24990.2","F18O22.200",0.53,0.086,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_43",11
"AT5G20270","AT5G20270","Chir06Ox-b18750.2","AT5G20270.1",0.584,0.09,NA,NA,"negative regulation of abscisic acid-activated signaling pathway, nucleus, response to hormone, response to salt stress, response to sucrose, signaling receptor activity","GEP_43",12
"AT1G01120","AT1G01120","Chir01Ox-b01160.2","AT1G01120.1",0.599,0.0925,NA,NA,"cellular response to cold, cuticle development, cytoplasm, cytosolic ribosome, endoplasmic reticulum, fatty acid elongase activity, fatty acid elongation, membrane, protein binding, response to cold, response to light stimulus, very long-chain fatty acid biosynthetic process, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity, wax biosynthetic process","DEGs",13
"AT1G64670","AT1G64670","Chir02Ox-b00160.2","CED1",0.606,0.094,NA,NA,"chloroplast, cuticle development, cutin biosynthetic process, cytoplasm, defense response to fungus, lateral root development, nucleus, plant-type cell wall, positive regulation of cutin biosynthetic process, positive regulation of response to water deprivation, regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, suberin biosynthetic process, transpiration","GEP_43",14
"AT1G05230","AT1G05230","Chir01Ox-b04460.2","AT1G05230.1",0.5645,0.0985,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, mucilage biosynthetic process involved in seed coat development, nucleus, plant-type cell wall cellulose metabolic process, positive regulation of DNA-templated transcription initiation, protein binding, seed coat development, transcription cis-regulatory region binding, trichome morphogenesis","DEGs",15
"AT2G15090","AT2G15090","Chir03Ox-b29260.2","KCS8",0.6905,0.104,NA,NA,"chloroplast, endoplasmic reticulum, fatty acid biosynthetic process, fatty acid elongation, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity","DEGs",16
"AT1G11600","AT1G11600","Chir01Ox-b11470.2","CYP77B1",0.656,0.11,NA,NA,"fatty acid biosynthetic process, flower development, heme binding, iron ion binding, linoleic acid epoxygenase activity, membrane, organelle organization, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, plant organ morphogenesis, plasma membrane, regulation of gene expression by genomic imprinting, tissue development","DEGs",17
"AT4G04890","AT4G04890","Chir08Ox-b04440.2","AT4G04890.1",0.6645,0.1115,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding","DEGs",18
"AT1G75710","AT1G75710","Chir02Ox-b22640.2","AT1G75710.1",0.611,0.1135,"Yes","C2H2","cell division, cellular response to brassinosteroid stimulus, DNA-binding transcription factor activity, nucleus, primary root development, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",19
"AT3G28910","AT3G28910","Chir05Ox-b06840.2","ATMYB30",0.649,0.1155,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process","DEGs",20
"AT1G49430","AT1G49430","Chir01Ox-b38370.2","LACS2",0.7115,0.117,NA,NA,"chloroplast, cutin biosynthetic process, defense response to fungus, endoplasmic reticulum, fatty acid biosynthetic process, fatty acid metabolic process, lateral root formation, long-chain fatty acid-CoA ligase activity, membrane, plasmodesma, very long-chain fatty acid-CoA ligase activity, wax biosynthetic process","DEGs",21
"AT5G45950","AT5G45950","Chir06Ox-b02270.2","AT5G45950.1",0.7125,0.1175,NA,NA,"extracellular region, hydrolase activity, acting on ester bonds","DEGs",22
"AT4G21750","AT4G21750","Chir07Ox-b18410.2","AT4G21750.1",0.718,0.119,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, nucleus, plant epidermal cell differentiation, protein binding, regulation of DNA-templated transcription, regulation of seed dormancy process, regulation of seed germination, seed germination, sequence-specific DNA binding","DEGs",23
"AT5G04530","AT5G04530","Chir06Ox-b34390.2","KCS19",0.6815,0.1315,NA,NA,"chloroplast, fatty acid biosynthetic process, response to cold, response to light stimulus, very-long-chain 3-ketoacyl-CoA synthase activity","DEGs",24
"AT3G01860","AT3G01860","Chir03Ox-b00230.2","F28J7.19",0.686,0.141,NA,NA,"molecular_function, nucleus","DEGs",25
"AT5G36910","AT5G36910","Chir01Ox-b36180.2","AT5G36910.1",0.609,0.1475,NA,NA,"defense response, extracellular region, toxin activity","DEGs",26
"AT1G24020","AT1G24020","Chir01Ox-b23680.2","MLP423",0.7595,0.1795,NA,NA,"abscisic acid binding, abscisic acid-activated signaling pathway, chloroplast, cytosol, defense response, nucleus, protein phosphatase inhibitor activity, signaling receptor activity","DEGs",27
"AT3G56400","AT3G56400","Chir05Ox-b22010.2","WRKY70",0.6035,0.1975,"Yes","WRKY","camalexin biosynthetic process, cellular response to hypoxia, defense response to bacterium, defense response to fungus, defense response to oomycetes, DNA-binding transcription factor activity, floral organ senescence, indole glucosinolate biosynthetic process, induced systemic resistance, induced systemic resistance, jasmonic acid mediated signaling pathway, leaf senescence, negative regulation of DNA-templated transcription, negative regulation of leaf senescence, nucleus, positive regulation of salicylic acid mediated signaling pathway, protein binding, regulation of brassinosteroid mediated signaling pathway, regulation of defense response, regulation of DNA-templated transcription, regulation of ethylene-activated signaling pathway, regulation of jasmonic acid mediated signaling pathway, regulation of response to osmotic stress, regulation of response to water deprivation, regulation of salicylic acid mediated signaling pathway, regulation of stomatal closure, response to bacterium, response to insect, response to jasmonic acid, response to osmotic stress, response to reactive oxygen species, response to salicylic acid, sequence-specific DNA binding, systemic acquired resistance, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding","DEGs",28
