"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT4G04890",0,1.38094964003793,0.77,0.067,0,0,1.26040612820362,0.868,0.154,0,0,0,"Chir08Ox-b04440.2","Yes","HD-ZIP","AT4G04890.1","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding"
"AT4G21750",0,1.61014196855815,0.83,0.072,0,0,1.53435105933449,0.923,0.164,0,0,0,"Chir07Ox-b18410.2","Yes","HD-ZIP","AT4G21750.1","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, nucleus, plant epidermal cell differentiation, protein binding, regulation of DNA-templated transcription, regulation of seed dormancy process, regulation of seed germination, seed germination, sequence-specific DNA binding"
"AT1G75710",0,1.08063662638719,0.668,0.073,0,0,1.22172611119776,0.769,0.154,0,0,0,"Chir02Ox-b22640.2","Yes","C2H2","AT1G75710.1","cell division, cellular response to brassinosteroid stimulus, DNA-binding transcription factor activity, nucleus, primary root development, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"AT3G28910",0,1.52596606582711,0.749,0.09,0,0,1.50631108639505,0.813,0.141,0,0,0,"Chir05Ox-b06840.2","Yes","MYB","ATMYB30","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process"
"AT2G45190",1.57260032006066e-217,1.3740194946737,0.675,0.287,2.88682240753536e-213,0,1.15419145209551,0.824,0.471,0,1.57260032006066e-217,0,"Chir04Ox-b28030.2","Yes","YABBY","AFO","abaxial cell fate specification, cell fate commitment, DNA-binding transcription factor activity, fruit development, inflorescence meristem growth, meristem structural organization, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of flower development, regulation of leaf development, regulation of shoot apical meristem development, specification of floral organ identity, specification of plant organ position, transcription cis-regulatory region binding"
"AT4G00480",0,0.769835282569425,0.466,0.049,0,0,0.56994722773138,0.443,0.096,0,0,0,"Chir08Ox-b00630.2","Yes","bHLH","myc1","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root hair, trichome patterning"
"AT2G30424",5.46443521370425e-252,0.674843363260362,0.357,0.068,1.00310637217969e-247,0,0.34833500416866,0.223,0.026,0,5.46443521370425e-252,0,"Chir04Ox-b12150.2","Yes","MYB_related","TCL2","cell differentiation, mitochondrion, negative regulation of DNA-templated transcription, negative regulation of trichome patterning, nucleus, transcription cis-regulatory region binding, trichome patterning"
"AT2G45050",0,0.581239986311001,0.328,0.022,0,0,0.438439127520159,0.325,0.065,0,0,0,"Chir04Ox-b27890.2","Yes","GATA","AT2G45050.1","cell differentiation, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, response to light stimulus, sequence-specific DNA binding, zinc ion binding"
"AT5G46880",0,0.557735525340934,0.424,0.034,0,0,0.882611071029412,0.716,0.131,0,0,0,"Chir06Ox-b00960.2","Yes","HD-ZIP","HB-7","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus"
"AT5G53210",0,0.532074835902129,0.332,0.042,0,4.31168124604738e-241,0.287107563854896,0.267,0.07,7.91495326336917e-237,4.31168124604738e-241,0,"Chir08Ox-b14990.2","Yes","bHLH","SPCH","cytoplasm, DNA-binding transcription activator activity, DNA-binding transcription factor activity, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of response to osmotic stress, regulation of stomatal complex development, response to low humidity, response to osmotic stress, stomatal complex development"
