"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"AT1G62360",0,1.91454529117982,0.584,0.002,0,1,"GEP_5 and DEGs","Yes"
"AT1G70510",0,1.36182923200864,0.637,0.002,0,2,"DEGs","Yes"
"AT3G21510",0,1.02761505555102,0.461,0.004,0,3,"GEP_5 and DEGs","No"
"AT4G08150",0,3.03393712991036,0.719,0.004,0,4,"GEP_5 and DEGs","Yes"
"AT5G03840",0,1.5172126225626,0.183,0.004,0,5,"GEP_5 and DEGs","No"
"AT3G12500",0,2.0996441260236,0.325,0.01,0,6,"GEP_5 and DEGs","No"
"AT1G13710",0,2.96834366861685,0.655,0.014,0,7,"GEP_5 and DEGs","No"
"AT3G23290",0,2.62315257990019,0.886,0.015,0,8,"GEP_5 and DEGs","No"
"AT3G19200",0,1.31322636232526,0.461,0.017,0,9,"GEP_5 and DEGs","No"
"AT3G04510",0,1.75778795953423,0.724,0.019,0,10,"GEP_5 and DEGs","No"
"AT3G24450",0,1.11116132510103,0.367,0.019,0,11,"DEGs","No"
"AT4G35900",0,1.26982558682999,0.47,0.024,0,12,"DEGs","Yes"
"AT1G11580",0,2.10686325896651,0.321,0.025,0,13,"GEP_5 and DEGs","No"
"AT5G57785",1.56525645527967e-293,1.8274422182571,0.301,0.025,2.8733412749569e-289,14,"DEGs","No"
"AT1G70830",5.01940591745945e-20,1.34919779948759,0.102,0.029,9.2141234426803e-16,15,"DEGs","No"
"AT2G31160",0,1.61690005286088,0.739,0.031,0,16,"DEGs","No"
"AT5G54510",0,3.18248441271769,0.677,0.033,0,17,"DEGs","No"
"AT1G53903",5.68317045585865e-270,1.07025006345034,0.385,0.043,1.04325960058197e-265,18,"DEGs","No"
"AT5G65870",1.05395163168136e-50,1.00983044456253,0.194,0.046,1.93473901027748e-46,19,"DEGs","No"
"AT1G16530",0,2.17871337581353,0.806,0.054,0,20,"DEGs","Yes"
"AT4G37800",1.70136364446918e-239,1.38710537862642,0.41,0.055,3.12319324215207e-235,21,"DEGs","No"
"AT5G28490",0,1.95200772554311,0.849,0.058,0,22,"DEGs","No"
"AT5G63450",8.19086461994415e-21,1.11280297623111,0.16,0.059,1.50359701828315e-16,23,"DEGs","No"
"AT1G28360",1.13100151694957e-277,1.25489678933666,0.595,0.106,2.07617948466433e-273,24,"DEGs","Yes"
"AT5G65640",1.57257720671161e-173,1.18068782317953,0.51,0.117,2.88677997836049e-169,25,"DEGs","Yes"
"AT4G32980",3.89466827976697e-270,1.20432279763278,0.677,0.147,7.14944256116823e-266,26,"DEGs","Yes"
"AT3G44290",5.54994530293426e-215,1.06868300630436,0.633,0.151,1.01880345925964e-210,27,"DEGs","Yes"
"AT5G65510",2.45415869963114e-201,1.20474572193856,0.733,0.221,4.50509912491289e-197,28,"DEGs","Yes"
"AT2G24700",2.19208277666292e-160,1.10023599286798,0.724,0.265,4.02400635312012e-156,29,"DEGs","Yes"
"AT4G24240",9.79634753126282e-182,1.23738675769344,0.786,0.285,1.79831551631392e-177,30,"DEGs","Yes"
