"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT4G15140",0.648370057808169,0.328,0.032,1,"GEP_23 and DEGs","No"
"AT5G36710",1.14023320558079,0.341,0.033,2,"GEP_23","No"
"AT1G63100",0.742064296372384,0.419,0.036,3,"GEP_23 and DEGs","Yes"
"AT3G51280",1.08789215296439,0.4275,0.0405,4,"DEGs","No"
"AT3G51230",1.54907258357161,0.337,0.042,5,"GEP_23 and DEGs","No"
"AT3G51740",1.02853372880869,0.404,0.042,6,"GEP_23 and DEGs","No"
"AT5G66230",1.71459215925386,0.412,0.0465,7,"DEGs","No"
"AT2G42110",1.46157526606386,0.424,0.051,8,"GEP_23 and DEGs","No"
"AT3G16280",0.440956954553968,0.321,0.055,9,"DEGs","Yes"
"AT5G44040",1.05073434132043,0.473,0.063,10,"GEP_23 and DEGs","No"
"AT4G15830",1.30516629652892,0.5765,0.0635,11,"DEGs","No"
"AT5G06150",1.54751272842152,0.513,0.0675,12,"DEGs","No"
"AT5G25090",1.6774003633255,0.454,0.069,13,"GEP_23 and DEGs","No"
"AT3G25980",1.20981625600545,0.593,0.0715,14,"DEGs","No"
"AT3G02120",2.11517422094114,0.505,0.073,15,"GEP_23 and DEGs","No"
"AT3G14190",1.16130316120389,0.478,0.0735,16,"DEGs","No"
"AT1G08560",2.26732814317029,0.648,0.077,17,"DEGs","No"
"AT1G31460",0.719615105063826,0.466,0.092,18,"GEP_23 and DEGs","No"
"AT2G25060",1.96998156657018,0.5575,0.0925,19,"DEGs","No"
"AT4G33270",1.75897278536506,0.5755,0.109,20,"DEGs","No"
"AT2G25880",1.49809952711115,0.835,0.117,21,"DEGs","No"
