"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G04110",0,1.3362723099213,0.164,0.002,0,4.6145805727339e-277,2.91450664630831,0.4,0.017,8.47098555736761e-273,4.6145805727339e-277,0,"AT1G04110"
"AT1G08810",0,1.70974499101447,0.587,0.004,0,0,1.43134726299361,0.481,0.003,0,0,0,"AT1G08810"
"AT1G11850",0,4.45738884863678,0.634,0.056,0,0,5.01119834691773,0.85,0.018,0,0,0,"AT1G11850"
"AT1G12480",0,0.604502405509647,0.282,0.003,0,0,0.643535943548228,0.2,0.003,0,0,0,"AT1G12480"
"AT1G16960",0,1.00027902218742,0.544,0.017,0,0,1.94621571627072,0.537,0.005,0,0,0,"AT1G16960"
"AT1G24400",0,0.771515806517121,0.401,0.003,0,0,1.02724575553036,0.288,0.001,0,0,0,"AT1G24400"
"AT1G26600",0,1.08684388362748,0.493,0.008,0,0,1.42225625552025,0.65,0.011,0,0,0,"AT1G26600"
"AT1G32780",0,0.365445211687275,0.2,0.009,0,3.04908082190114e-227,0.297283181226891,0.169,0.003,5.59719766476392e-223,3.04908082190114e-227,0,"AT1G32780"
"AT1G33811",0,0.961059259712775,0.192,0.002,0,0,1.12428894803841,0.231,0,0,0,0,"AT1G33811"
"AT1G63180",0,2.18070478627212,0.724,0.043,0,5.10268705695522e-145,0.470832005373526,0.262,0.014,9.3670026304527e-141,5.10268705695522e-145,0,"AT1G63180"
"AT1G69320",0,0.566926489861663,0.266,0.004,0,0,0.972480633438808,0.544,0.003,0,0,0,"AT1G69320"
"AT1G71866",0,0.850795009851763,0.223,0.001,0,0,2.85669334687261,0.581,0.004,0,0,0,"AT1G71866"
