"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT2G47550",0,0.512166913555537,0.141,0.01,0,"AT2G47550"
"AT5G14470",6.74173998507199e-238,0.260603844194416,0.104,0.014,1.23758120905967e-233,"AT5G14470"
"AT1G24145",6.58100216148817e-244,0.313951358673457,0.111,0.015,1.20807456678438e-239,"AT1G24145"
"AT5G46350",8.68955667174575e-228,0.283193588993383,0.111,0.016,1.59514191823237e-223,"AT5G46350"
"AT5G14180",4.28432901132072e-210,0.316395011925183,0.107,0.016,7.86474276608145e-206,"AT5G14180"
"AT1G30720",0,0.457266708044472,0.186,0.019,0,"AT1G30720"
"AT2G38790",1.10241831076307e-282,0.479390879988243,0.139,0.021,2.02370929306777e-278,"AT2G38790"
"AT3G13650",9.73903108091706e-178,1.02452517008293,0.113,0.021,1.78779393552394e-173,"AT3G13650"
"AT1G29290",6.69080998491729e-174,0.384916567319304,0.12,0.023,1.22823198893127e-169,"AT1G29290"
"AT2G39518",0,1.09568151292141,0.246,0.024,0,"AT2G39518"
"AT4G14450",1.50016542814501e-193,0.505414861974274,0.128,0.025,2.7538536764458e-189,"AT4G14450"
"AT1G74010",0,0.741301411485568,0.235,0.026,0,"AT1G74010"
"AT5G48657",0,0.779062033631157,0.274,0.026,0,"AT5G48657"
"AT2G24240",3.02242233395637e-284,0.274782597816721,0.158,0.026,5.54826067844371e-280,"AT2G24240"
"AT2G22860",1.76641621098444e-159,0.543310823027726,0.122,0.026,3.24261023850414e-155,"AT2G22860"
"AT3G59220",0,0.80166644564879,0.201,0.028,0,"AT3G59220"
"AT4G30270",0,0.642452902702156,0.172,0.028,0,"AT4G30270"
"AT4G21920",0,0.539613250240794,0.233,0.029,0,"AT4G21920"
"AT5G59580",1.46204910349745e-151,0.265564220595924,0.126,0.029,2.68388353929028e-147,"AT5G59580"
"AT1G65690",0,0.6428784956255,0.184,0.031,0,"AT1G65690"
"AT2G43590",5.15374092964079e-259,1.06848651312609,0.166,0.031,9.4607222245416e-255,"AT2G43590"
"AT5G53830",1.2109857859728e-202,0.333625251959487,0.15,0.031,2.22300660731027e-198,"AT5G53830"
"AT5G13330",3.31780154197354e-111,0.328927235874584,0.12,0.033,6.09048829060082e-107,"AT5G13330"
"AT5G18130",8.96254297681997e-288,0.436316402236767,0.181,0.034,1.64525401425484e-283,"AT5G18130"
"AT5G61160",8.53833078577992e-84,0.373474698254715,0.111,0.034,1.56738138234562e-79,"AT5G61160"
"AT4G27260",3.03968698051167e-88,0.258352152268033,0.115,0.035,5.57995339012528e-84,"AT4G27260"
"AT1G76640",3.92247278386641e-62,0.262056105108337,0.102,0.035,7.20048328934358e-58,"AT1G76640"
"AT1G52200",0,1.3294444663886,0.233,0.036,0,"AT1G52200"
"AT3G46660",5.02666530326129e-133,0.25582417840231,0.137,0.036,9.22744949719675e-129,"AT3G46660"
"AT1G51790",1.00989039750621e-111,0.32999003881878,0.129,0.037,1.85385580270214e-107,"AT1G51790"
"AT1G19610",0,1.08061132006766,0.259,0.039,0,"AT1G19610"
"AT4G28350",1.91699069390863e-206,0.257766923690703,0.169,0.039,3.51901981680808e-202,"AT4G28350"
"AT4G15610",0,2.40523391069223,0.352,0.04,0,"AT4G15610"
"AT3G19660",0,0.944029347499254,0.292,0.041,0,"AT3G19660"
"AT2G19800",0,0.814522622662938,0.24,0.041,0,"AT2G19800"
"AT4G06746",4.94270245138872e-240,0.695906326576578,0.188,0.041,9.07331889001426e-236,"AT4G06746"
"AT3G21780",0,0.446974445746052,0.26,0.042,0,"AT3G21780"
"AT4G36670",0,0.457462664998959,0.233,0.042,0,"AT4G36670"
"AT5G47330",5.66419058799696e-163,0.412422588757447,0.162,0.042,1.0397754662386e-158,"AT5G47330"
"AT5G43440",0,0.498467431299276,0.252,0.043,0,"AT5G43440"
"AT4G11890",0,0.794547059735613,0.25,0.043,0,"AT4G11890"
"AT1G20310",1.06798331362684e-298,0.461865694377982,0.209,0.043,1.96049696882479e-294,"AT1G20310"
"AT2G43620",0,1.42954492117132,0.309,0.045,0,"AT2G43620"
"AT5G06760",3.37057915549865e-265,0.446814853504022,0.205,0.045,6.18737215574887e-261,"AT5G06760"
"AT1G10070",1.43338374036932e-139,0.383565134349335,0.156,0.045,2.63126253219597e-135,"AT1G10070"
"AT1G26800",3.44418889057396e-66,0.294584504670225,0.122,0.045,6.32249754642662e-62,"AT1G26800"
"AT5G36925",0,0.616869071044654,0.269,0.046,0,"AT5G36925"
"AT1G19540",0,0.512649512763032,0.223,0.047,0,"AT1G19540"
"AT3G54420",0,1.03827144395982,0.31,0.047,0,"AT3G54420"
"AT1G11210",1.87249675289328e-156,0.417624581872219,0.169,0.047,3.4373422892862e-152,"AT1G11210"
"AT1G69490",5.11639128028172e-97,0.302665951781447,0.141,0.047,9.39215947321315e-93,"AT1G69490"
"AT1G72060",0,0.594090661852575,0.239,0.048,0,"AT1G72060"
"AT3G47380",0,0.837146652351845,0.3,0.049,0,"AT3G47380"
"AT4G30280",2.43517651266343e-296,0.730350448354412,0.229,0.051,4.47025352429626e-292,"AT4G30280"
"AT1G07040",4.07459852213291e-125,0.279259290062524,0.165,0.052,7.47974050707939e-121,"AT1G07040"
"AT3G04300",0,2.00166265402922,0.387,0.053,0,"AT3G04300"
"AT4G39320",8.61796962297686e-73,0.34857919867649,0.138,0.053,1.58200068368986e-68,"AT4G39320"
"AT3G50900",0,0.683619341895396,0.265,0.054,0,"AT3G50900"
"AT2G02990",0,1.27287007478438,0.361,0.055,0,"AT2G02990"
"AT5G63450",2.79376159081872e-105,0.515057773653588,0.162,0.055,5.12850815226593e-101,"AT5G63450"
"AT3G29034",2.55571913865278e-176,0.349811635631572,0.203,0.058,4.69153362282491e-172,"AT3G29034"
"AT1G35140",7.10949176650599e-137,0.339703327446014,0.186,0.06,1.30508940357751e-132,"AT1G35140"
"AT5G62360",0,0.883467718765937,0.278,0.064,0,"AT5G62360"
"AT1G69570",8.57809316480427e-296,0.656592696901008,0.257,0.064,1.57468056226312e-291,"AT1G69570"
"AT5G25440",0,0.973489762443022,0.359,0.065,0,"AT5G25440"
"AT3G14060",0,0.714464790836728,0.338,0.065,0,"AT3G14060"
"AT2G01610",0,0.911010499886918,0.291,0.065,0,"AT2G01610"
"AT1G21400",2.20926382572173e-177,0.368766011930114,0.213,0.065,4.05554560487739e-173,"AT1G21400"
"AT1G28390",3.42978732537523e-79,0.338784508788942,0.163,0.065,6.29606059319131e-75,"AT1G28390"
"AT5G39670",0,1.14983019501761,0.321,0.066,0,"AT5G39670"
"AT3G45730",0,0.81521526327439,0.298,0.066,0,"AT3G45730"
"AT1G14780",1.33231394160959e-299,0.433549549208146,0.265,0.066,2.44572870261273e-295,"AT1G14780"
"AT5G52050",0,0.796508346035826,0.277,0.068,0,"AT5G52050"
"AT2G17040",8.04365960228418e-238,0.783584445059592,0.246,0.068,1.47657459319131e-233,"AT2G17040"
"AT2G30140",1.01742425491832e-92,0.444666028524385,0.175,0.068,1.86768570475356e-88,"AT2G30140"
"AT5G41800",1.10569656644667e-215,0.338929531939605,0.239,0.069,2.02972718702616e-211,"AT5G41800"
"AT3G50890",4.15393343724983e-62,0.264577680345972,0.155,0.069,7.62537561075952e-58,"AT3G50890"
"AT5G03610",2.04014033696914e-42,0.283410011196032,0.142,0.07,3.74508561657425e-38,"AT5G03610"
"AT4G33980",2.18235120832377e-40,0.271528774787925,0.14,0.071,4.00614211311994e-36,"AT4G33980"
"AT3G62990",1.57748659352357e-33,0.403484287171197,0.133,0.071,2.89579213973121e-29,"AT3G62990"
"AT5G22580",1.11229713691914e-184,1.49882536811454,0.231,0.072,2.04184385424246e-180,"AT5G22580"
"AT2G41640",1.29069081278413e-134,0.320276922773256,0.216,0.076,2.36932112502782e-130,"AT2G41640"
"AT1G64380",0,0.689765000862671,0.32,0.077,0,"AT1G64380"
"AT5G10040",2.47212209058895e-15,0.260581689564123,0.118,0.077,4.53807452169413e-11,"AT5G10040"
"AT5G50200",1.00710528731369e-116,0.518407156774093,0.21,0.078,1.84874317592174e-112,"AT5G50200"
"AT1G74020",9.23314385105154e-305,0.572983337558552,0.296,0.08,1.69492821673753e-300,"AT1G74020"
"AT3G02800",4.11844739807677e-167,0.439730488931573,0.239,0.08,7.56023388864953e-163,"AT3G02800"
"AT3G11260",2.67511805047045e-127,0.493239906095584,0.216,0.08,4.91071420524861e-123,"AT3G11260"
"AT1G12320",8.0854778367961e-29,0.278609923778665,0.141,0.08,1.48425116650066e-24,"AT1G12320"
"AT1G51090",6.35546040478558e-196,0.516252240578374,0.259,0.081,1.16667186650649e-191,"AT1G51090"
"AT1G68340",3.58057625301395e-157,0.30379792243278,0.235,0.081,6.57286382765771e-153,"AT1G68340"
"AT5G58700",2.10416482220475e-128,0.300341481172071,0.218,0.081,3.86261536412126e-124,"AT5G58700"
"AT5G05440",9.91710194548392e-248,0.523657198182406,0.277,0.082,1.82048240413248e-243,"AT5G05440"
"AT2G18670",6.89682388323423e-223,0.392312939995414,0.268,0.082,1.26604996024531e-218,"AT2G18670"
"AT3G60520",1.28901175801442e-91,0.293317447819722,0.197,0.082,2.36623888418708e-87,"AT3G60520"
"AT5G65683",4.1333663231415e-95,0.261041783110043,0.201,0.083,7.58762055939086e-91,"AT5G65683"
"AT3G49120",5.67301045844898e-58,0.33276784363519,0.179,0.083,1.04139452985748e-53,"AT3G49120"
"AT2G25735",0,1.5516221279173,0.383,0.084,0,"AT2G25735"
"AT4G31980",8.21172740205559e-176,0.320650803468468,0.246,0.084,1.50742679919534e-171,"AT4G31980"
"AT5G08240",0,0.784731498798974,0.353,0.085,0,"AT5G08240"
"AT1G17147",3.77648148913286e-77,0.300935220822085,0.194,0.085,6.93248706960119e-73,"AT1G17147"
"AT1G24150",6.75302070270443e-84,0.268154915342346,0.198,0.086,1.23965201039545e-79,"AT1G24150"
"AT1G62422",8.79776928282391e-183,0.353280331946814,0.258,0.087,1.61500650724799e-178,"AT1G62422"
"AT5G57050",4.00230604899807e-46,0.274759386825081,0.17,0.088,7.34703321414575e-42,"AT5G57050"
"AT4G32870",0,1.18530695669809,0.388,0.089,0,"AT4G32870"
"AT5G57150",1.04707135654639e-49,0.336111464757198,0.174,0.09,1.9221088892122e-45,"AT5G57150"
"AT1G62300",0,1.07587196150268,0.333,0.091,0,"AT1G62300"
"AT1G75490",4.8820061930106e-208,0.429094407754556,0.277,0.091,8.96189876850957e-204,"AT1G75490"
"AT3G50760",0,0.799015568831712,0.405,0.093,0,"AT3G50760"
"AT3G49790",2.5344795222074e-219,0.41272466907731,0.288,0.093,4.65254405891612e-215,"AT3G49790"
"AT4G09460",4.94286038051909e-96,0.286466012650306,0.217,0.093,9.07360880051889e-92,"AT4G09460"
"AT5G57480",8.65628871260923e-40,0.43903487740017,0.169,0.094,1.58903491897368e-35,"AT5G57480"
"AT5G17460",0,1.32209347227625,0.325,0.095,0,"AT5G17460"
"AT5G46330",2.25274622454271e-136,0.344834174185597,0.243,0.095,4.13536624439306e-132,"AT5G46330"
"AT1G58420",7.7681667884361e-270,0.658028731011713,0.314,0.096,1.42600237735322e-265,"AT1G58420"
"AT3G19930",1.07608276665123e-128,0.398639726907605,0.241,0.096,1.97536513474167e-124,"AT3G19930"
"AT4G33467",8.14426317429402e-110,0.621688782214901,0.232,0.096,1.49504239090515e-105,"AT4G33467"
"AT5G43190",8.3003217554059e-156,0.351999272053456,0.262,0.097,1.52369006463986e-151,"AT5G43190"
"AT5G01670",5.75082858897108e-132,0.493766027931921,0.244,0.097,1.05567960407742e-127,"AT5G01670"
"AT1G65486",4.59205002177138e-107,0.495196125780906,0.234,0.098,8.42962622496572e-103,"AT1G65486"
"AT2G41730",1.95298956521271e-52,0.505157457852154,0.19,0.098,3.58510294486096e-48,"AT2G41730"
"AT3G15500",0,0.800453689651404,0.352,0.099,0,"AT3G15500"
"AT5G46295",0,1.08126723582416,0.477,0.106,0,"AT5G46295"
"AT2G43510",0,1.68775146372497,0.515,0.106,0,"AT2G43510"
"AT3G13790",0,1.10431988344793,0.437,0.109,0,"AT3G13790"
"AT1G14870",0,2.05181291173021,0.513,0.125,0,"AT1G14870"
"AT3G06420",0,0.992868626257551,0.473,0.127,0,"AT3G06420"
"AT1G69410",0,1.13116964862151,0.441,0.136,0,"AT1G69410"
"AT2G35290",0,1.41054107905544,0.523,0.166,0,"AT2G35290"
"AT1G11260",0,0.987793130046037,0.519,0.196,0,"AT1G11260"
"AT3G47340",0,1.97176303593436,0.634,0.229,0,"AT3G47340"
"AT1G01470",0,1.53669089699202,0.627,0.23,0,"AT1G01470"
"AT2G20670",0,1.08064571098716,0.554,0.234,0,"AT2G20670"
"AT4G38810",0,0.969533332568362,0.548,0.237,0,"AT4G38810"
"AT5G07440",0,1.72493490544249,0.608,0.267,0,"AT5G07440"
"AT5G45630",2.22374255281871e-295,1.11478460425244,0.585,0.282,4.08212420420931e-291,"AT5G45630"
"AT5G02020",0,1.15934596883482,0.674,0.29,0,"AT5G02020"
"AT3G48360",9.38432791705811e-303,0.956554968980483,0.649,0.322,1.72268107573436e-298,"AT3G48360"
"AT5G20250",0,1.09018688780287,0.68,0.337,0,"AT5G20250"
"AT2G38870",0,2.54332438357677,0.746,0.354,0,"AT2G38870"
"AT1G19310",0,1.05143324387969,0.72,0.359,0,"AT1G19310"
"AT4G13830",0,0.941959721928347,0.676,0.372,0,"AT4G13830"
"AT2G18700",0,0.932314533751902,0.732,0.404,0,"AT2G18700"
"AT2G32150",0,1.18489028857967,0.853,0.463,0,"AT2G32150"
"AT5G01750",0,1.26471550757154,0.788,0.469,0,"AT5G01750"
"AT1G21010",0,2.12342899051892,0.784,0.473,0,"AT1G21010"
"AT2G15960",0,1.72582895337,0.846,0.479,0,"AT2G15960"
"AT1G68840",0,1.56199977007867,0.839,0.488,0,"AT1G68840"
"AT1G33590",0,1.28146507900593,0.816,0.5,0,"AT1G33590"
