"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT5G59370",0,0.420913019831011,0.102,0,0,"AT5G59370"
"AT3G61840",0,0.281418131621174,0.131,0.001,0,"AT3G61840"
"AT1G62981",0,0.60815665357904,0.145,0.002,0,"AT1G62981"
"AT5G40330",0,1.11022379446183,0.149,0.002,0,"AT5G40330"
"AT2G46570",0,0.728385039724113,0.138,0.002,0,"AT2G46570"
"AT5G03170",0,1.62185192797873,0.193,0.003,0,"AT5G03170"
"AT5G60490",0,1.14388615305285,0.24,0.003,0,"AT5G60490"
"AT4G11950",0,0.611186182610364,0.276,0.003,0,"AT4G11950"
"AT4G14780",0,0.292719789619894,0.156,0.003,0,"AT4G14780"
"AT2G28870",2.33680669411126e-213,0.476306118256229,0.109,0.003,4.28967604838005e-209,"AT2G28870"
"AT3G10080",0,1.58646419619088,0.225,0.004,0,"AT3G10080"
"AT3G53010",0,0.681626019979697,0.295,0.004,0,"AT3G53010"
"AT5G55250",2.32016313034427e-158,0.405071745408015,0.116,0.004,4.25912345837298e-154,"AT5G55250"
"AT1G01900",0,0.996546971447774,0.207,0.005,0,"AT1G01900"
"AT2G04850",8.10382634277953e-260,0.449827807044603,0.16,0.005,1.48761940174404e-255,"AT2G04850"
"AT1G79840",4.17835092593739e-232,0.539513843360856,0.156,0.005,7.67019879474326e-228,"AT1G79840"
"AT3G06370",4.14221298432082e-200,0.257149189855094,0.145,0.005,7.60386037531773e-196,"AT3G06370"
"AT2G33850",6.28423758273827e-184,1.31399000299958,0.131,0.005,1.15359749306326e-179,"AT2G33850"
"AT1G68795",2.16205153576672e-160,0.315961469769678,0.131,0.005,3.96887800420697e-156,"AT1G68795"
"AT2G22122",6.22540575106342e-135,0.344109493997925,0.12,0.005,1.14279773372271e-130,"AT2G22122"
"AT1G46480",3.2619235221256e-114,0.285229793211098,0.109,0.005,5.98791300956596e-110,"AT1G46480"
"AT1G68810",0,1.38487667216974,0.225,0.006,0,"AT1G68810"
"AT1G72230",0,1.14107296823188,0.2,0.006,0,"AT1G72230"
"AT2G44790",4.01031101991102e-151,0.591425366099264,0.131,0.006,7.36172793925067e-147,"AT2G44790"
"AT5G57240",1.34284811695023e-102,0.304848898436787,0.109,0.006,2.46506628828554e-98,"AT5G57240"
"AT2G18060",4.93620684839071e-256,0.863664144853762,0.182,0.007,9.06139491159082e-252,"AT2G18060"
"AT1G23340",6.16607257664418e-173,0.477878703952924,0.156,0.007,1.13190594289457e-168,"AT1G23340"
"AT1G80100",4.3658389738642e-151,0.743275573687876,0.145,0.007,8.01437060432252e-147,"AT1G80100"
"AT5G07800",2.27543577864592e-106,0.626421850423986,0.12,0.007,4.17701745886032e-102,"AT5G07800"
"AT5G10520",2.44292779504987e-96,0.421202992686763,0.116,0.007,4.48448255337304e-92,"AT5G10520"
"AT1G64625",0,0.6177409940195,0.236,0.008,0,"AT1G64625"
"AT5G18930",8.50413396208342e-260,0.619360167204033,0.2,0.008,1.56110387141965e-255,"AT5G18930"
"AT3G48970",1.44387674295508e-200,0.42415796924841,0.175,0.008,2.65052453704264e-196,"AT3G48970"
"AT1G01380",1.61133090921248e-128,0.329074276189437,0.145,0.008,2.95792015004136e-124,"AT1G01380"
"AT5G64667",1.94696358998474e-113,0.261778997465022,0.135,0.008,3.574041062135e-109,"AT5G64667"
"AT5G02640",0,1.56678378263264,0.324,0.009,0,"AT5G02640"
"AT3G53100",0,1.25511878137659,0.262,0.009,0,"AT3G53100"
"AT3G61380",8.20936812830296e-131,0.35653633642804,0.156,0.009,1.50699370731257e-126,"AT3G61380"
"AT3G20640",1.28816541902422e-76,0.255008967613942,0.12,0.009,2.36468525970276e-72,"AT3G20640"
"AT1G77110",0,0.736789133588021,0.284,0.01,0,"AT1G77110"
"AT1G69080",6.28109682323086e-306,0.422912022734478,0.251,0.01,1.15302094384049e-301,"AT1G69080"
"AT2G47860",2.57465585083255e-196,0.332062464396263,0.2,0.01,4.72629574537331e-192,"AT2G47860"
"AT2G28660",7.53765074958351e-152,0.43230422445168,0.189,0.012,1.38368654810104e-147,"AT2G28660"
"AT5G44005",1.20461163689916e-134,0.304086478395427,0.182,0.012,2.21130558185579e-130,"AT5G44005"
"AT5G08370",5.18945231967358e-55,0.795543415060232,0.116,0.012,9.52627762322479e-51,"AT5G08370"
"AT2G01950",1.28877157450171e-262,0.522678739776844,0.255,0.013,2.36579797931279e-258,"AT2G01950"
"AT2G31110",1.29922684887022e-106,0.420380454690988,0.167,0.013,2.38499072647105e-102,"AT2G31110"
"AT1G77855",2.3071245419275e-98,0.339633551311345,0.16,0.013,4.23518852161631e-94,"AT1G77855"
"AT1G79180",2.36715084394508e-131,0.453446293613972,0.189,0.014,4.34537880422999e-127,"AT1G79180"
"AT5G19530",0,3.65964218133894,0.422,0.015,0,"AT5G19530"
"AT3G23450",6.26688606367848e-58,0.539335162486468,0.135,0.015,1.15041227470946e-53,"AT3G23450"
"AT5G48800",9.1799610966218e-259,0.535945264319301,0.284,0.016,1.68516545850686e-254,"AT5G48800"
"AT3G44730",1.53739668885875e-118,0.352052911861464,0.196,0.016,2.82219910173801e-114,"AT3G44730"
"AT3G17420",2.45626722219203e-76,0.468682789721299,0.156,0.016,4.50896973977792e-72,"AT3G17420"
"AT3G51030",0,1.49365179308741,0.375,0.017,0,"AT3G51030"
"AT5G50130",6.9408424698433e-97,0.593713943065936,0.185,0.017,1.27413045218913e-92,"AT5G50130"
"AT3G12060",7.98078625720461e-87,0.323603947335122,0.171,0.017,1.46503293323505e-82,"AT3G12060"
"AT3G27400",1.19789192493424e-104,0.471773824589728,0.193,0.018,2.19897020660179e-100,"AT3G27400"
"AT4G34880",4.62371817576574e-47,0.266868704976214,0.135,0.018,8.48775945525317e-43,"AT4G34880"
"AT1G25450",1.24079592092059e-30,0.38692878227609,0.109,0.018,2.27772907203392e-26,"AT1G25450"
"AT3G26760",2.85666217229697e-70,0.488605854194116,0.167,0.019,5.24397474968555e-66,"AT3G26760"
"AT3G01140",2.42844213033255e-29,0.447338814838909,0.113,0.019,4.45789121865145e-25,"AT3G01140"
"AT3G25590",1.10108469523764e-85,0.318935377465233,0.189,0.02,2.02126117504773e-81,"AT3G25590"
"AT1G09812",1.99868421306283e-49,0.285022617519454,0.145,0.02,3.66898460991943e-45,"AT1G09812"
"AT1G10750",1.872586284776e-134,0.555344110893352,0.236,0.021,3.4375066429633e-130,"AT1G10750"
"AT1G24735",7.97254265624955e-90,0.42655193137193,0.2,0.021,1.46351965540773e-85,"AT1G24735"
"AT3G24450",2.76502872132095e-72,0.539303313444291,0.178,0.021,5.07576322372887e-68,"AT3G24450"
"AT4G36160",1.35182938055826e-234,1.06935453271181,0.32,0.022,2.4815531938908e-230,"AT4G36160"
"AT5G25890",1.99437021417156e-111,0.772705060764739,0.222,0.022,3.66106540215473e-107,"AT5G25890"
"AT2G46410",3.09447244843693e-111,1.09166151768028,0.222,0.022,5.68052307359567e-107,"AT2G46410"
"AT2G46590",4.06289454419453e-119,0.534539169872498,0.233,0.023,7.45825551477791e-115,"AT2G46590"
"AT3G12710",1.67900232214278e-110,0.660227604539416,0.225,0.023,3.0821445627575e-106,"AT3G12710"
"AT1G51355",3.15728429673832e-40,0.251033179637665,0.145,0.023,5.79582678352254e-36,"AT1G51355"
"AT1G78110",3.58300482390677e-171,0.687473563875696,0.287,0.024,6.57732195524565e-167,"AT1G78110"
"AT2G26700",1.77703916161942e-95,0.450903285811239,0.218,0.024,3.26211078898476e-91,"AT2G26700"
"AT2G13820",0,2.85150717725985,0.465,0.025,0,"AT2G13820"
"AT4G32880",0,1.39113171005722,0.4,0.025,0,"AT4G32880"
"AT1G03820",1.49217125615597e-177,1.00975915906359,0.295,0.025,2.73917877492552e-173,"AT1G03820"
"AT4G27435",3.00800286760218e-15,1.30791114713364,0.102,0.026,5.52179086405732e-11,"AT4G27435"
"AT3G61850",3.28941911104405e-173,0.733255828223457,0.302,0.027,6.03838666214357e-169,"AT3G61850"
"AT5G16230",1.16926004679492e-72,0.336716444958936,0.207,0.027,2.14641066790144e-68,"AT5G16230"
"AT2G28410",2.49686018306797e-70,1.3398501209213,0.2,0.027,4.58348623805787e-66,"AT2G28410"
"AT1G04040",1.47597786874878e-19,1.0741462509444,0.116,0.027,2.70945257366213e-15,"AT1G04040"
"AT3G61920",2.52865509578248e-59,0.411837700390732,0.189,0.028,4.6418521593279e-55,"AT3G61920"
"AT3G18560",5.67259356893376e-28,0.413877536734025,0.138,0.028,1.04131800144917e-23,"AT3G18560"
"AT1G64060",2.22139898621778e-189,0.720415213719853,0.331,0.029,4.07782211899997e-185,"AT1G64060"
