"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G29270",9.47005149358843e-256,0.44456409596205,0.279,0.061,1.73841735267803e-251,"AT1G29270"
"AT1G57820",0,0.672982932421822,0.671,0.213,0,"AT1G57820"
"AT1G74840",5.9993787439971e-183,0.340386959665443,0.534,0.215,1.10130595603555e-178,"AT1G74840"
"AT3G07800",0,1.11167292201589,0.598,0.217,0,"AT3G07800"
"AT1G66940",3.36173085140302e-206,0.405531653614903,0.548,0.225,6.17112932392053e-202,"AT1G66940"
"AT3G14210",1.92490011752549e-173,0.702857483330878,0.569,0.247,3.53353914574154e-169,"AT3G14210"
"AT1G01370",1.89932843535367e-267,0.573978686639081,0.63,0.253,3.48659720877874e-263,"AT1G01370"
"AT5G38110",0,0.649533459495022,0.691,0.256,0,"AT5G38110"
"AT2G32765",1.02266164078867e-207,0.574856536288666,0.568,0.259,1.87729997399576e-203,"AT2G32765"
"ATCG00750",1.68968178916037e-293,0.534852357132204,0.671,0.261,3.10174886036169e-289,"ATCG00750"
"AT3G02820",2.13259634544149e-156,0.433071799757115,0.568,0.266,3.91480711132694e-152,"AT3G02820"
"AT3G55040",1.78579982840237e-206,0.390359084693533,0.644,0.273,3.27819274499824e-202,"AT3G55040"
"AT1G20010",0,0.649854998240786,0.693,0.28,0,"AT1G20010"
"AT5G51545",5.23690230640739e-250,0.480388865494046,0.683,0.284,9.61338156387204e-246,"AT5G51545"
"AT5G59870",0,3.43206791442132,0.991,0.293,0,"AT5G59870"
"ATCG01060",4.74261845384168e-188,0.387438276209226,0.678,0.299,8.70602469571717e-184,"ATCG01060"
"AT4G30760",7.59128832477166e-206,0.442506223295786,0.674,0.307,1.39353279777833e-201,"AT4G30760"
"AT4G20030",1.25770928535377e-174,0.389889850245986,0.613,0.309,2.30877693512392e-170,"AT4G20030"
"AT1G73490",0,0.599663656191987,0.77,0.315,0,"AT1G73490"
"AT5G02710",1.32823421124454e-306,0.572063959122544,0.761,0.317,2.43823954158161e-302,"AT5G02710"
"AT2G15910",7.0471878808473e-202,0.422876779785931,0.705,0.32,1.29365227928714e-197,"AT2G15910"
"AT3G01740",8.5401860081352e-261,0.512045079015368,0.758,0.326,1.56772194551338e-256,"AT3G01740"
"AT2G28720",8.8593493821637e-183,0.481706489323156,0.663,0.33,1.62631076608379e-178,"AT2G28720"
"AT1G14900",0,2.12610566501042,0.92,0.331,0,"AT1G14900"
"ATCG01080",1.95237448975537e-236,0.494147519925179,0.783,0.343,3.58397385084393e-232,"ATCG01080"
"AT3G48030",4.79927907144421e-233,0.482313210965166,0.765,0.349,8.81003659145013e-229,"AT3G48030"
"ATCG00730",3.95628709911388e-185,0.413293116478194,0.756,0.351,7.26255622784334e-181,"ATCG00730"
"AT2G38870",6.2572829129577e-238,0.2535912413287,0.808,0.357,1.14864942433165e-233,"AT2G38870"
"ATCG00520",4.20313997305296e-176,0.422905299233976,0.713,0.358,7.71570404853332e-172,"ATCG00520"
"AT4G18590",4.50796405740853e-230,0.498026844108085,0.759,0.361,8.27526962018483e-226,"AT4G18590"
"AT5G02790",5.24019612701798e-168,0.39114233111519,0.748,0.362,9.6194280303669e-164,"AT5G02790"
"AT1G52510",1.9590344291698e-106,0.271143850853516,0.67,0.363,3.596199501627e-102,"AT1G52510"
"ATCG00650",0,0.928584212514512,0.921,0.378,0,"ATCG00650"
"ATCG00770",0,0.811235560915619,0.899,0.378,0,"ATCG00770"
"AT3G15520",5.41146247157258e-293,0.596991862289216,0.822,0.383,9.93382165906578e-289,"AT3G15520"
"AT2G39080",0,0.699717323636219,0.867,0.389,0,"AT2G39080"
"AT2G46910",3.23222101038611e-180,0.421338078965686,0.743,0.389,5.93338810876579e-176,"AT2G46910"
"AT1G49500",3.78915727804528e-129,0.379157581759626,0.706,0.389,6.95575601530772e-125,"AT1G49500"
"AT4G27230",0,0.795648572782026,0.867,0.392,0,"AT4G27230"
"ATCG00420",1.56256043388173e-238,0.555509678340185,0.886,0.401,2.86839218847669e-234,"ATCG00420"
"AT1G09200",0,2.09094592506861,0.993,0.41,0,"AT1G09200"
"AT3G54560",0,2.13153666634038,0.996,0.435,0,"AT3G54560"
"ATCG01040",4.27042237358031e-292,0.717776582662367,0.933,0.436,7.83921435118137e-288,"ATCG01040"
"ATCG00440",1.24173743934981e-262,0.676960679398808,0.969,0.436,2.27945741741445e-258,"ATCG00440"
"AT2G01590",8.30465585736705e-203,0.500308500203196,0.838,0.436,1.52448567573687e-198,"AT2G01590"
"AT3G58680",0,0.727313376175531,0.947,0.442,0,"AT3G58680"
"ATCG01070",7.43298012341721e-291,0.78211529081918,0.973,0.448,1.3644721612557e-286,"ATCG01070"
"ATCG00660",0,0.834456991892262,0.93,0.456,0,"ATCG00660"
"AT1G43670",2.41956685792926e-115,0.304174436222234,0.814,0.459,4.44159888110074e-111,"AT1G43670"
"AT1G12090",5.55473165691571e-150,0.607581586257316,0.809,0.465,1.01968209026002e-145,"AT1G12090"
"ATCG00740",0,1.26596837525471,0.999,0.468,0,"ATCG00740"
"ATCG00570",4.78585109021847e-283,0.857741562224791,0.996,0.471,8.78538684631405e-279,"ATCG00570"
"AT2G28740",0,1.26328975004813,0.987,0.473,0,"AT2G28740"
"AT3G20670",0,2.00615215015981,0.983,0.477,0,"AT3G20670"
"ATCG00720",2.24933156598921e-277,0.88473383610302,0.999,0.478,4.1290979556864e-273,"ATCG00720"
"AT2G07708",4.66669073990573e-254,0.638825257750337,0.869,0.481,8.56664419124494e-250,"AT2G07708"
"ATCG00470",0,1.02471966386858,1,0.484,0,"ATCG00470"
"AT3G16250",5.72033835579595e-148,0.451558112088051,0.786,0.484,1.05008251197346e-143,"AT3G16250"
"AT4G38225",3.81653522938425e-139,0.394193689631505,0.786,0.486,7.00601372058067e-135,"AT4G38225"
"AT1G70760",3.34877287670723e-154,0.431118155112329,0.859,0.488,6.14734236977147e-150,"AT1G70760"
"AT1G08880",0,3.04248321962026,0.992,0.499,0,"AT1G08880"
"AT2G07725",9.77340524143504e-198,0.719550164683477,0.805,0.499,1.79410400017023e-193,"AT2G07725"
"AT4G34620",0,1.20636634697164,1,0.509,0,"AT4G34620"
"AT5G22440",0,1.03802055949708,0.969,0.525,0,"AT5G22440"
"AT5G47435",1.74306855855379e-214,0.570591041603143,0.854,0.529,3.1997509529372e-210,"AT5G47435"
"AT3G63160",1.21336858180178e-211,0.622528635492531,0.931,0.537,2.22738070561352e-207,"AT3G63160"
"AT3G04630",6.49749883681105e-263,0.619462510729026,0.923,0.547,1.1927458614734e-258,"AT3G04630"
"AT1G20693",0,1.5130987200291,0.969,0.558,0,"AT1G20693"
"AT2G47710",8.0792209998133e-94,0.262371656504645,0.864,0.564,1.48310259893573e-89,"AT2G47710"
"AT5G54640",0,1.95213052243922,0.958,0.567,0,"AT5G54640"
"AT4G24930",4.53623633913437e-198,0.554658080376514,0.878,0.573,8.32716904774897e-194,"AT4G24930"
"AT5G02120",1.53263000102539e-179,0.527762502456069,0.883,0.576,2.8134488928823e-175,"AT5G02120"
"AT3G17160",0,0.961705828864969,0.92,0.581,0,"AT3G17160"
"AT5G15970",1.65117439135846e-195,0.772841309972583,0.936,0.594,3.03106083021672e-191,"AT5G15970"
"AT2G37470",0,2.70488014694641,0.988,0.597,0,"AT2G37470"
"AT1G76100",0,0.848000227087879,0.966,0.603,0,"AT1G76100"
"AT1G07790",2.10236142996274e-299,0.66598873597694,0.948,0.622,3.8593048769826e-295,"AT1G07790"
"AT2G30620",0,2.05504676739329,0.988,0.625,0,"AT2G30620"
"AT1G56280",9.91645178144226e-196,0.552746343979525,0.939,0.628,1.82036305351936e-191,"AT1G56280"
"AT5G27670",0,0.68604795115361,0.956,0.631,0,"AT5G27670"
"ATCG01050",3.12905597532186e-226,0.665643687566878,0.956,0.635,5.74400805389834e-222,"ATCG01050"
"AT1G45474",8.70074602712609e-185,0.578044662088311,0.941,0.635,1.59719594819954e-180,"AT1G45474"
"ATCG00540",1.84515343418974e-276,0.828243601056222,0.993,0.646,3.3871481591421e-272,"ATCG00540"
"AT2G04700",1.97381531304921e-228,0.65580309767062,0.976,0.667,3.62333277016444e-224,"AT2G04700"
"AT5G59910",0,2.47744762356509,0.999,0.668,0,"AT5G59910"
"AT1G51060",0,2.15377539461946,0.999,0.695,0,"AT1G51060"
