"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT5G09570",1.50988545520934e-239,3.93662294358179,1,0,2.77169673012779e-235,"AT5G09570"
"AT1G36240",4.01221143451074e-234,3.60569599842589,0.987,0,7.36521653033137e-230,"AT1G36240"
"AT4G18150",1.34585202761308e-147,1.30409386183573,0.737,0,2.47058056708933e-143,"AT4G18150"
"AT2G26820",5.0198018711038e-139,1.21353278215898,0.708,0,9.21485029478525e-135,"AT2G26820"
"AT1G63200",3.75734807894461e-122,0.937118498153719,0.648,0,6.89736386851863e-118,"AT1G63200"
"AT5G46060",2.15103617400909e-100,0.777252571884108,0.562,0,3.94865710462848e-96,"AT5G46060"
"AT2G07675",4.95899004532127e-95,0.779584483515491,0.54,0,9.10321802619625e-91,"AT2G07675"
"AT1G58400",5.63074723752183e-94,0.825111417149044,0.535,0,1.03363627039188e-89,"AT1G58400"
"AT2G37280",2.68209437632222e-89,1.13730143331543,0.515,0,4.9235206466147e-85,"AT2G37280"
"AT1G43640",4.84189300938268e-89,0.830163019016867,0.514,0,8.88826299732379e-85,"AT1G43640"
"AT3G03080",3.04827926778495e-86,0.893892476172886,0.502,0,5.59572625187284e-82,"AT3G03080"
"AT3G25080",8.09457562785523e-79,0.601350677083991,0.468,0,1.48592124800538e-74,"AT3G25080"
"ATMG01280",2.27496829291854e-77,0.648819485873686,0.461,0,4.17615929531057e-73,"ATMG01280"
"AT1G80740",2.85548757898518e-74,1.16042963644466,0.447,0,5.2418185487431e-70,"AT1G80740"
"AT5G63850",2.16511553989193e-72,1.74425631362952,0.438,0,3.97450259657962e-68,"AT5G63850"
"AT4G20095",5.39446591223014e-71,0.549403990496713,0.431,0,9.90262107508087e-67,"AT4G20095"
"AT5G50680",1.41979780357292e-59,0.435994866229876,0.374,0,2.60632282801881e-55,"AT5G50680"
"AT5G34830",1.99522260930585e-57,0.443832719190409,0.363,0,3.66263014390275e-53,"AT5G34830"
"AT3G03190",3.72169163834319e-51,0.808514511600989,0.329,0,6.83190934050659e-47,"AT3G03190"
"AT3G01750",1.02878008294486e-47,0.538479235762072,0.31,0,1.88853159826189e-43,"AT3G01750"
"AT3G26430",2.54993029842708e-46,0.448426647881923,0.302,0,4.68090704882259e-42,"AT3G26430"
"AT1G59940",1.90221097162632e-41,0.514309268258879,0.274,0,3.49188868061443e-37,"AT1G59940"
"AT3G20370",9.85120414487327e-40,0.577772937923448,0.264,0,1.80838554487439e-35,"AT3G20370"
"AT2G07776",1.52291795924747e-39,0.340184344914377,0.263,0,2.79562049779058e-35,"AT2G07776"
"AT1G71920",2.71097566749946e-37,0.270880533604366,0.249,0,4.97653803282875e-33,"AT1G71920"
"AT1G48180",9.77403627242663e-37,0.325685849674328,0.246,0,1.79421983852936e-32,"AT1G48180"
"AT1G75700",8.19103267991851e-36,0.259757802880312,0.24,0,1.50362786905264e-31,"AT1G75700"
"AT5G24240",1.90945511550301e-35,0.317238341713711,0.238,0,3.50518675552888e-31,"AT5G24240"
"AT3G27900",3.62790630431826e-34,0.258652275124745,0.23,0,6.65974760283703e-30,"AT3G27900"
"AT4G13700",5.51258799792458e-34,0.452837175444172,0.229,0,1.01194577877901e-29,"AT4G13700"
"AT5G39000",1.2061995104734e-31,0.321380203146578,0.214,0,2.21422044137602e-27,"AT5G39000"
"AT1G62990",1.81862645342885e-31,0.481587431584619,0.213,0,3.33845258055933e-27,"AT1G62990"
