"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT1G58270",0,2.49054095462199,0.693,0,0,"AT1G58270"
"AT1G73490",0,1.22602380824886,0.725,0,0,"AT1G73490"
"AT3G01740",0,1.24308425211568,0.732,0,0,"AT3G01740"
"AT3G19790",0,0.641229235507056,0.455,0,0,"AT3G19790"
"AT2G26975",0,0.872446592065558,0.522,0,0,"AT2G26975"
"AT2G38110",0,0.983988155335035,0.445,0,0,"AT2G38110"
"AT2G38995",0,1.38520957320482,0.487,0,0,"AT2G38995"
"AT4G02850",0,2.0057459736787,0.47,0,0,"AT4G02850"
"ATCG00420",0,1.44248333368186,0.62,0,0,"ATCG00420"
"ATCG00440",0,2.39663900625608,0.684,0,0,"ATCG00440"
"ATCG00570",0,3.29070889354308,0.943,0,0,"ATCG00570"
"ATCG00650",0,1.26980069379287,0.574,0,0,"ATCG00650"
"ATCG00730",0,0.956136924535908,0.563,0,0,"ATCG00730"
"ATCG00740",0,2.97031707295533,0.904,0,0,"ATCG00740"
"ATCG00770",0,1.14454953857343,0.622,0,0,"ATCG00770"
"ATCG01070",0,2.2267122623293,0.776,0,0,"ATCG01070"
"ATCG01080",0,0.855803898868856,0.472,0,0,"ATCG01080"
"AT5G51545",8.03940971464575e-299,0.6239827830299,0.434,0,1.47579444131752e-294,"AT5G51545"
"ATCG01060",6.36605751731179e-295,0.681833387149048,0.429,0,1.16861717845292e-290,"ATCG01060"
"AT4G22690",1.59716923935808e-291,1.24916129424764,0.425,0,2.93192357268963e-287,"AT4G22690"
"ATCG00750",4.91519721999884e-278,0.596882618040766,0.408,0,9.02282753675186e-274,"ATCG00750"
"AT5G48480",1.35513917263909e-277,1.03267778035974,0.408,0,2.48762897921357e-273,"AT5G48480"
"AT1G48200",1.02869397033311e-249,0.518001037151083,0.371,0,1.88837352134048e-245,"AT1G48200"
"AT5G48620",1.13489361050631e-204,0.405522998990925,0.311,0,2.08332420080644e-200,"AT5G48620"
"AT1G28670",5.02764798102224e-198,0.523731725654589,0.302,0,9.22925339876252e-194,"AT1G28670"
"AT3G14210",1.05955348128742e-196,1.15433682550365,0.3,0,1.94502232559932e-192,"AT3G14210"
"AT1G09490",3.51705184633578e-193,0.377733031214061,0.295,0,6.45625207431859e-189,"AT1G09490"
"AT5G46550",2.53623571905738e-169,0.328313432029098,0.262,0,4.65576790947363e-165,"AT5G46550"
"AT1G29500",1.87969684503744e-154,0.576447068266779,0.241,0,3.45055949843522e-150,"AT1G29500"
"AT3G58020",4.95934591251582e-154,0.3148316194804,0.24,0,9.10387129160529e-150,"AT3G58020"
"AT1G27540",3.44758245370921e-153,0.310219852731449,0.239,0,6.32872711027401e-149,"AT1G27540"
"AT4G33690",3.74786874077357e-148,0.308939773268024,0.231,0,6.87996264743805e-144,"AT4G33690"
"ATCG00590",9.48441217555984e-138,0.26748696119327,0.216,0,1.74105354306752e-133,"ATCG00590"
"AT4G29740",6.36952647994128e-137,0.360241003646397,0.215,0,1.16925397592282e-132,"AT4G29740"
"AT1G71130",3.65185744138865e-122,0.254178353382186,0.193,0,6.70371470515715e-118,"AT1G71130"
"AT4G36850",3.94587122862817e-122,0.666262982300327,0.194,0,7.24343581439272e-118,"AT4G36850"
"AT1G22590",4.66479848568762e-112,0.329356389861114,0.178,0,8.56317058017676e-108,"AT1G22590"
"AT1G35140",1.04088365249932e-101,0.644038100885318,0.163,0,1.91075012089301e-97,"AT1G35140"
"AT1G29660",9.88387388798436e-96,0.693036437286802,0.153,0,1.81438272961729e-91,"AT1G29660"
"AT3G26200",3.36540915939652e-83,0.417375504303179,0.134,0,6.17788159390419e-79,"AT3G26200"
"AT2G46140",7.3023788802568e-76,0.289453338410142,0.123,0,1.34049769104874e-71,"AT2G46140"
