"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"AT1G08080",0,1.37440888030542,0.156,0.003,0,1,"DEGs","No"
"AT1G64405",6.81977980538087e-256,1.17176098925008,0.239,0.014,1.07752520925018e-251,2,"DEGs","No"
"AT1G22470",0,1.88171777091678,0.484,0.017,0,3,"DEGs","No"
"AT3G16430",6.24946833944663e-48,1.18424243186419,0.124,0.018,9.87415997632567e-44,4,"DEGs","No"
"AT5G66400",2.83806872165664e-76,1.79149765826481,0.168,0.021,4.4841485802175e-72,5,"DEGs","No"
"AT1G45201",4.62751502832309e-105,1.09760704877738,0.215,0.025,7.31147374475048e-101,6,"DEGs","No"
"AT1G29290",9.89515597887283e-100,1.03202749098769,0.212,0.026,1.56343464466191e-95,7,"DEGs","No"
"AT5G22270",0,1.26215351571262,0.41,0.028,0,8,"DEGs","No"
"AT1G44830",7.54014090189287e-20,0.306456435189721,0.118,0.032,1.19134226249907e-15,9,"GEP_38 and DEGs","Yes"
"AT4G28085",2.81778509439665e-147,1.26811629595348,0.283,0.032,4.4521004491467e-143,10,"DEGs","No"
"AT2G39410",0,1.98422144568934,0.566,0.036,0,11,"DEGs","No"
"AT5G03120",1.32821378075553e-33,0.573846513574735,0.183,0.046,2.09857777359373e-29,12,"GEP_38 and DEGs","No"
"AT5G06270",3.77159925219009e-21,0.283283249625289,0.168,0.053,5.95912681846034e-17,13,"GEP_38 and DEGs","No"
"AT3G45010",3.14998934564242e-13,0.320160249277128,0.142,0.054,4.97698316611503e-09,14,"GEP_38 and DEGs","No"
"AT5G61290",6.40056630694356e-77,0.625679688395513,0.33,0.073,1.01128947649708e-72,15,"GEP_38 and DEGs","No"
"AT1G73360",1.72463317081757e-21,0.327938814350216,0.215,0.082,2.72492040989175e-17,16,"GEP_38 and DEGs","Yes"
"AT3G10450",3.51086715842306e-76,0.811285549754621,0.381,0.096,5.54717011030843e-72,17,"GEP_38 and DEGs","No"
"AT1G62300",0,2.46325740854616,0.749,0.097,0,18,"DEGs","Yes"
"AT3G47600",1.11431014227011e-115,1.01084125663347,0.484,0.107,1.76061002478678e-111,19,"DEGs","Yes"
"AT5G46880",0,1.58250029516479,0.752,0.111,0,20,"DEGs","Yes"
"AT4G14560",1.03767174593387e-40,0.995904795857274,0.336,0.114,1.63952135857551e-36,21,"GEP_38 and DEGs","No"
"AT5G46295",2.11830172335641e-12,0.597996997223254,0.236,0.12,3.34691672290313e-08,22,"GEP_38 and DEGs","No"
"AT5G52310",1.05510694706195e-110,2.13913381496855,0.493,0.121,1.66706897635788e-106,23,"GEP_38 and DEGs","No"
"AT1G05230",7.78944320393649e-283,1.3723045898622,0.764,0.131,1.23073202622197e-278,24,"DEGs","Yes"
"AT4G04890",4.04238332358156e-218,1.22884659947411,0.752,0.149,6.38696565125887e-214,25,"DEGs","Yes"
"AT4G21750",1.43920761262812e-284,1.59485777058421,0.85,0.159,2.27394802795242e-280,26,"DEGs","Yes"
"AT3G60030",6.9728354655957e-92,1.04964883355944,0.614,0.238,1.10170800356412e-87,27,"DEGs","Yes"
"AT2G27050",4.68257145498291e-63,1.05350406626459,0.572,0.267,7.398462898873e-59,28,"DEGs","Yes"
"AT3G16940",7.6240369264456e-71,1.0264347267436,0.608,0.281,1.2045978343784e-66,29,"DEGs","Yes"
"AT3G16770",1.39637835795185e-124,1.28372319601822,0.802,0.334,2.20627780556392e-120,30,"DEGs","Yes"
