"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT5G46350",0.615551878751321,0.2255,0.013,1,"DEGs","Yes"
"AT3G06490",0.323752350565039,0.1255,0.016,2,"DEGs","Yes"
"AT2G30550",0.323621371995086,0.142,0.018,3,"GEP_41","No"
"AT1G74010",1.26875754003513,0.405,0.0225,4,"DEGs","No"
"AT3G62150",0.667578879002882,0.312,0.026,5,"GEP_41 and DEGs","No"
"AT1G13080",0.776375628147777,0.179,0.027,6,"GEP_41","No"
"AT5G01210",0.56578260370523,0.198,0.027,7,"GEP_41 and DEGs","No"
"AT4G15610",2.4008224569404,0.4555,0.039,8,"DEGs","No"
"AT1G69580",0.352185376351336,0.171,0.041,9,"DEGs","Yes"
"AT2G22760",0.675486886960625,0.289,0.0425,10,"DEGs","Yes"
"AT5G06760",0.834063316904919,0.349,0.043,11,"GEP_47 and DEGs","No"
"AT3G47380",1.2501583955366,0.3545,0.05,12,"DEGs","No"
"AT3G07340",0.454344152188665,0.242,0.0525,13,"DEGs","Yes"
"AT3G16400",0.711646201767273,0.299,0.053,14,"GEP_47","No"
"AT2G02990",1.4847806091327,0.496,0.0535,15,"DEGs","No"
"AT2G01610",1.85802499534222,0.5605,0.059,16,"DEGs","No"
"AT5G22580",3.0344279837979,0.4715,0.0655,17,"DEGs","No"
"AT5G60200",0.396030158240606,0.167,0.071,18,"GEP_41","Yes"
"AT5G50200",2.25265863386806,0.37,0.074,19,"GEP_41","No"
"AT4G24060",0.557334231754785,0.214,0.0745,20,"DEGs","Yes"
"AT5G19875",0.644111147870241,0.303,0.083,21,"GEP_41 and DEGs","No"
"AT1G62300",2.04813488249634,0.579,0.086,22,"GEP_41 and DEGs","Yes"
"AT5G08240",0.831050544934189,0.416,0.086,23,"GEP_41 and DEGs","No"
"AT5G57150",0.641504991508356,0.305,0.0875,24,"DEGs","Yes"
"AT5G67350",0.434382038037962,0.27,0.099,25,"GEP_41","No"
"AT5G46295",1.75253858107671,0.694,0.1025,26,"DEGs","No"
"AT3G13790",1.89274991381041,0.67,0.1055,27,"DEGs","No"
"AT4G34990",1.80292527503097,0.6495,0.1055,28,"DEGs","Yes"
"AT3G13910",1.20492872110867,0.594,0.113,29,"GEP_47 and DEGs","No"
"AT1G13245",0.657697532958241,0.401,0.132,30,"GEP_47 and DEGs","No"
"AT1G13960",0.738966063783418,0.508,0.145,31,"DEGs","Yes"
"AT2G39700",1.82482961227226,0.554,0.152,32,"DEGs","No"
"AT1G10140",1.593527624047,0.675,0.173,33,"GEP_47 and DEGs","No"
"AT5G67600",0.5138218502152,0.366,0.256,34,"GEP_47 and DEGs","No"
"AT3G45970",1.9640173019015,0.809,0.2585,35,"DEGs","No"
"AT1G20140",0.370866667743983,0.451,0.392,36,"GEP_47 and DEGs","No"
"AT1G25560",2.29959469845222,0.9735,0.5555,37,"DEGs","Yes"
