"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G21810",0,1.33031298913009,0.658,0.03,0,0,0.772504790445088,0.564,0.042,0,0,0,"AT1G21810"
"AT1G34245",0,2.65642742250664,0.47,0.019,0,0,1.6136668679773,0.422,0.05,0,0,0,"AT1G34245"
"AT5G10890",0,1.55541095676724,0.648,0.029,0,0,1.34263807331717,0.63,0.052,0,0,0,"AT5G10890"
"AT5G53210",0,1.82998762897739,0.685,0.047,0,0,0.98717444770882,0.576,0.074,0,0,0,"AT5G53210"
"AT5G60880",0,2.3381933942257,0.694,0.019,0,0,2.88567391717667,0.825,0.071,0,0,0,"AT5G60880"
"AT3G22880",0,2.37683255403565,0.767,0.084,0,8.19902454967438e-187,0.531293481873427,0.397,0.089,1.29544587884855e-182,8.19902454967438e-187,0,"AT3G22880"
"AT3G25905",0,0.823077324801159,0.447,0.023,0,5.26136531824741e-137,0.336730926646363,0.301,0.066,8.3129572028309e-133,5.26136531824741e-137,0,"AT3G25905"
"AT3G52540",0,0.644019091570576,0.374,0.01,0,1.03191518483088e-184,0.405662052795323,0.366,0.073,1.63042599203278e-180,1.03191518483088e-184,0,"AT3G52540"
"AT1G80080",3.11296713629544e-293,2.62221653717886,0.667,0.064,4.9184880753468e-289,0,2.19246741790069,0.587,0.081,0,3.11296713629544e-293,0,"AT1G80080"
"AT1G78172",2.10405584802124e-133,0.307861645117056,0.196,0.011,3.32440823987355e-129,0,0.71992586300917,0.51,0.062,0,2.10405584802124e-133,0,"AT1G78172"
"AT1G05065",6.74738865152702e-103,0.478128608503019,0.306,0.035,1.06608740694127e-98,0,0.699669101252245,0.487,0.069,0,6.74738865152702e-103,0,"AT1G05065"
"AT2G40670",1.45109590345432e-76,0.614601034977004,0.274,0.037,2.29273152745783e-72,0,0.997772033179724,0.318,0.018,0,1.45109590345432e-76,0,"AT2G40670"
"AT1G14350",1.81923448671976e-274,0.63050868405392,0.42,0.025,2.87439048901723e-270,3.6039773901013e-150,0.411509635710045,0.387,0.097,5.69428427636006e-146,3.6039773901013e-150,3.63846897343943e-274,"AT1G14350"
"AT2G02450",1.82528048459156e-199,0.985499794590474,0.466,0.044,2.88394316565466e-195,1.70413894864619e-263,0.93889545567961,0.429,0.075,2.69253953886097e-259,1.82528048459156e-199,3.40827789729214e-263,"AT2G02450"
