"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"AT5G01180",0,0.994797177431043,0.406,0.014,0,"AT5G01180"
"AT5G56870",0,0.255073753153924,0.197,0.014,0,"AT5G56870"
"AT3G12060",0,0.277385132761593,0.182,0.015,0,"AT3G12060"
"AT1G28010",0,0.311858183135865,0.201,0.018,0,"AT1G28010"
"AT5G57760",0,0.524899238258118,0.29,0.026,0,"AT5G57760"
"AT4G34970",0,0.529090496345893,0.293,0.026,0,"AT4G34970"
"AT2G40670",0,0.916449942274475,0.307,0.028,0,"AT2G40670"
"AT2G24762",2.4988097403897e-194,0.553867442380988,0.195,0.028,3.94811938981573e-190,"AT2G24762"
"AT3G60840",0,0.434737254823473,0.264,0.031,0,"AT3G60840"
"AT2G04100",1.39047659796354e-278,0.522458141516907,0.251,0.033,2.19695302478239e-274,"AT2G04100"
"AT1G69610",1.71524787556037e-303,0.350443153350417,0.267,0.034,2.71009164338539e-299,"AT1G69610"
"AT3G52525",9.25103205756987e-41,0.295333654157954,0.113,0.034,1.46166306509604e-36,"AT3G52525"
"AT1G34245",0,1.95419076882541,0.433,0.035,0,"AT1G34245"
"AT1G53700",2.69192400631025e-179,0.272368087326082,0.213,0.035,4.2532399299702e-175,"AT1G53700"
"AT1G21810",0,0.923035666571259,0.586,0.036,0,"AT1G21810"
"AT1G78172",0,0.648613276634407,0.437,0.037,0,"AT1G78172"
"AT4G17680",0,0.758077880521775,0.355,0.037,0,"AT4G17680"
"AT4G08910",1.68507100839626e-242,0.338327146805349,0.251,0.037,2.66241219326608e-238,"AT4G08910"
"AT2G33793",2.90811585246243e-106,0.609075437648364,0.177,0.038,4.59482304689065e-102,"AT2G33793"
"AT5G58280",2.38072181620677e-295,0.311108564986064,0.279,0.039,3.7615404696067e-291,"AT5G58280"
"AT5G10890",0,1.40270062813546,0.634,0.041,0,"AT5G10890"
"AT4G30400",2.02615459698149e-125,0.256065957710062,0.2,0.041,3.20132426323076e-121,"AT4G30400"
"AT3G52540",0,0.48554640773198,0.368,0.042,0,"AT3G52540"
"AT4G26170",0,0.411845415488411,0.319,0.042,0,"AT4G26170"
"AT5G41070",0,0.496227907589586,0.363,0.045,0,"AT5G41070"
"AT5G60880",0,2.84223935137112,0.795,0.045,0,"AT5G60880"
"AT3G25905",0,0.472727049242871,0.335,0.045,0,"AT3G25905"
"AT1G14680",0,0.425622936476204,0.361,0.046,0,"AT1G14680"
"AT3G11600",1.15837965583003e-163,0.348189192959063,0.245,0.047,1.83023985621145e-159,"AT3G11600"
"AT1G65620",5.78793854541662e-257,0.722729080731719,0.293,0.048,9.14494290175826e-253,"AT1G65620"
"AT1G10690",8.01526242371035e-34,0.33508269485541,0.132,0.048,1.26641146294624e-29,"AT1G10690"
"AT4G23020",0,0.694054607976843,0.369,0.049,0,"AT4G23020"
"AT1G04760",1.82219803600099e-261,0.454841728529482,0.298,0.049,2.87907289688157e-257,"AT1G04760"
"AT4G19380",0,0.57034086419936,0.346,0.05,0,"AT4G19380"
"AT4G10630",6.24164642210542e-214,0.277489406459446,0.279,0.051,9.86180134692656e-210,"AT4G10630"
"AT1G77200",1.04739877417743e-125,0.407816298984948,0.227,0.051,1.65489006320034e-121,"AT1G77200"
"AT1G05065",0,0.664257828785902,0.445,0.052,0,"AT1G05065"
"AT5G39220",0,0.49645839001057,0.341,0.053,0,"AT5G39220"
"AT1G76240",6.89395944919957e-105,0.267143505157792,0.216,0.053,1.08924559297353e-100,"AT1G76240"
"AT3G56100",0,0.532689033345639,0.367,0.056,0,"AT3G56100"
"AT5G14230",1.43876457642612e-171,0.303417127367766,0.268,0.056,2.27324803075326e-167,"AT5G14230"
"AT3G09260",1.18305557567983e-25,0.774065427517394,0.135,0.056,1.86922780957413e-21,"AT3G09260"
"AT3G28500",2.9599388300335e-11,0.265739240984044,0.106,0.056,4.67670335145292e-07,"AT3G28500"
"AT3G12610",1.4138812429296e-146,0.285565211101676,0.257,0.057,2.23393236382878e-142,"AT3G12610"
"AT3G63280",9.9466443661103e-144,0.258552617196475,0.253,0.057,1.57156980984543e-139,"AT3G63280"
"AT2G30424",1.10633810305203e-69,0.299959660223348,0.194,0.057,1.74801420282221e-65,"AT2G30424"
"AT1G32690",1.30327142437865e-265,0.604606983979985,0.327,0.058,2.05916885051826e-261,"AT1G32690"
"AT5G47050",0,0.620433535029771,0.411,0.059,0,"AT5G47050"
"AT4G26790",1.13865268904482e-217,0.375594355892076,0.31,0.059,1.79907124869081e-213,"AT4G26790"
"AT3G60220",8.01062640892254e-187,0.323639249778766,0.289,0.059,1.26567897260976e-182,"AT3G60220"
"AT1G16750",5.32109722339471e-156,0.263144247225995,0.27,0.059,8.40733361296364e-152,"AT1G16750"
"AT2G02450",0,0.982571670787832,0.437,0.06,0,"AT2G02450"
"AT1G16220",9.44950383184091e-285,0.40496452155422,0.343,0.06,1.49302160543086e-280,"AT1G16220"
"AT1G16070",6.29994926385261e-261,0.475919095307812,0.332,0.06,9.95391983688713e-257,"AT1G16070"
"AT1G49000",1.92704875875492e-62,0.261867035148382,0.188,0.06,3.04473703883278e-58,"AT1G49000"
"AT5G01075",0,0.608069519031942,0.401,0.061,0,"AT5G01075"
"AT5G53210",0,1.238738674915,0.601,0.061,0,"AT5G53210"
"AT3G62070",0,1.03227648946894,0.421,0.061,0,"AT3G62070"
"AT1G56150",5.20637599680259e-61,0.471072926314896,0.191,0.061,8.22607407494809e-57,"AT1G56150"
"AT1G14350",0,0.480871056860916,0.395,0.062,0,"AT1G14350"
"AT1G54790",4.98443198740711e-152,0.289681101732671,0.274,0.062,7.87540254010323e-148,"AT1G54790"
"AT1G16500",1.33391132510791e-126,0.359589837025615,0.254,0.062,2.1075798936705e-122,"AT1G16500"
"AT2G02540",5.90352133215327e-57,0.252446196898751,0.188,0.062,9.32756370480217e-53,"AT2G02540"
"AT3G55130",3.58458012105925e-195,0.343597046491921,0.306,0.063,5.66363659127361e-191,"AT3G55130"
"AT1G62370",2.16528572902438e-47,0.299318443066907,0.179,0.063,3.42115145185852e-43,"AT1G62370"
"AT1G34355",0,0.551104807734368,0.435,0.064,0,"AT1G34355"
"AT5G05460",0,0.50869862580109,0.416,0.064,0,"AT5G05460"
"AT5G09690",7.98448687916188e-271,0.361443106909551,0.352,0.065,1.26154892690758e-266,"AT5G09690"
"AT2G47485",9.25995626715599e-188,0.448739274453508,0.307,0.065,1.46307309021065e-183,"AT2G47485"
"AT3G57830",5.20853805186579e-134,0.275885093736315,0.263,0.065,8.22949012194795e-130,"AT3G57830"
"AT1G06080",6.33218134938815e-214,0.404302194648276,0.331,0.066,1.00048465320333e-209,"AT1G06080"
"AT1G06660",0,0.567016028036315,0.479,0.068,0,"AT1G06660"
"AT1G16630",0,0.622965916509455,0.395,0.069,0,"AT1G16630"
"AT1G17480",0,0.775107500108094,0.544,0.069,0,"AT1G17480"
"AT1G78170",1.67200163066074e-217,0.636548873264722,0.338,0.069,2.64176257644397e-213,"AT1G78170"
"AT1G75430",1.49594963171977e-46,0.287088751810098,0.186,0.069,2.36360041811724e-42,"AT1G75430"
"AT3G12870",2.3912674601568e-253,1.23010565763803,0.357,0.07,3.77820258704774e-249,"AT3G12870"
"AT3G27730",2.49104659405071e-249,0.407650470270324,0.352,0.07,3.93585361860012e-245,"AT3G27730"
"AT2G16270",0,0.703825349955717,0.432,0.071,0,"AT2G16270"
"AT2G20590",1.98700236448992e-174,0.367968457892906,0.313,0.071,3.13946373589407e-170,"AT2G20590"
"AT2G04570",2.75573897802247e-95,0.319757879308819,0.254,0.072,4.35406758527551e-91,"AT2G04570"
"AT1G01830",0,0.798927301338671,0.559,0.073,0,"AT1G01830"
"AT1G80080",0,2.37876308224277,0.605,0.073,0,"AT1G80080"
"AT2G36380",3.08520914259003e-293,0.492325524350605,0.39,0.073,4.87463044529225e-289,"AT2G36380"
"AT1G11220",1.87456373450174e-196,0.452118961283824,0.33,0.073,2.96181070051276e-192,"AT1G11220"
"AT2G01505",0,0.653099254618039,0.485,0.074,0,"AT2G01505"
"AT4G25960",3.4994667708569e-260,0.438341406966879,0.378,0.074,5.5291574979539e-256,"AT4G25960"
"AT4G32700",1.02776573835236e-200,0.34982078844525,0.333,0.074,1.62386986659673e-196,"AT4G32700"
"AT2G17620",1.48354250971446e-177,0.430081920316157,0.321,0.074,2.34399716534885e-173,"AT2G17620"
"AT1G23790",9.27621111802531e-163,0.368345284195233,0.312,0.074,1.465641356648e-158,"AT1G23790"
"AT3G51280",3.02148036560473e-223,0.846608392884981,0.354,0.075,4.77393897765547e-219,"AT3G51280"
"AT5G51770",3.49492262590174e-174,0.343592063010573,0.317,0.075,5.52197774892475e-170,"AT5G51770"
"AT1G18670",2.19820276569587e-140,0.347529531573815,0.291,0.075,3.47316036979947e-136,"AT1G18670"
"AT3G55660",2.4170276352431e-189,0.563757002380643,0.331,0.076,3.8189036636841e-185,"AT3G55660"
"AT5G26280",6.90184895542155e-101,0.372497492853819,0.269,0.076,1.0904921349566e-96,"AT5G26280"
"AT5G42720",0,0.884437095162935,0.434,0.077,0,"AT5G42720"
"AT2G15440",0,0.646057049138383,0.446,0.077,0,"AT2G15440"
"AT5G05940",3.64173166700193e-169,0.340506871403567,0.319,0.077,5.75393603386305e-165,"AT5G05940"
"AT2G30820",0,0.725759322230614,0.537,0.078,0,"AT2G30820"
"AT5G11780",9.56336592835288e-171,0.323935242008656,0.32,0.078,1.51101181667975e-166,"AT5G11780"
"AT1G45130",0,1.11268904614516,0.677,0.079,0,"AT1G45130"
"AT2G41540",3.38736203505269e-231,0.423614507524119,0.372,0.079,5.35203201538326e-227,"AT2G41540"
"AT1G70895",7.96405339408731e-202,0.395733995954374,0.352,0.079,1.2583204362658e-197,"AT1G70895"
"AT1G62050",3.56762005040687e-162,0.30846663802413,0.318,0.079,5.63683967964286e-158,"AT1G62050"
"AT4G37490",2.13306141581922e-293,0.788668850192964,0.412,0.08,3.37023703699436e-289,"AT4G37490"
"AT1G56210",7.15532042269044e-162,0.396922436559596,0.322,0.08,1.13054062678509e-157,"AT1G56210"
"AT2G03810",2.05027013288248e-157,0.306783949937114,0.322,0.08,3.23942680995432e-153,"AT2G03810"
"AT5G02370",0,0.953096943758193,0.572,0.081,0,"AT5G02370"
"AT3G26050",0,0.658909570624729,0.486,0.081,0,"AT3G26050"
"AT5G66230",9.72263460087168e-64,0.362361927560495,0.235,0.081,1.53617626693773e-59,"AT5G66230"
"AT2G22140",0,0.471515158580407,0.415,0.082,0,"AT2G22140"
"AT3G49650",8.88271146460362e-259,0.438599027840835,0.386,0.082,1.40346841140737e-254,"AT3G49650"
"AT2G42290",5.8042360231375e-232,0.442524977866842,0.371,0.082,9.17069291655724e-228,"AT2G42290"
"AT3G55060",9.06329777405338e-176,0.345826100408747,0.332,0.082,1.43200104830043e-171,"AT3G55060"
"AT1G33260",3.07819688246523e-147,0.399197849312583,0.315,0.082,4.86355107429507e-143,"AT1G33260"
"AT5G50150",2.76289916627435e-136,0.318299017429354,0.313,0.083,4.36538068271348e-132,"AT5G50150"
"AT3G54630",6.38562748977235e-208,0.348589700190464,0.36,0.084,1.00892914338403e-203,"AT3G54630"
"AT3G22880",0,1.21562743296881,0.483,0.086,0,"AT3G22880"
"AT4G38070",0,1.12099066880461,0.563,0.086,0,"AT4G38070"
"AT5G01870",3.60886349496339e-198,0.521766664604369,0.374,0.086,5.70200432204216e-194,"AT5G01870"
"AT3G05330",4.22776644001298e-130,0.310009512906887,0.314,0.086,6.67987097522051e-126,"AT3G05330"
"AT3G08770",6.84065356139941e-50,0.308264248104057,0.229,0.086,1.08082326270111e-45,"AT3G08770"
"AT1G17920",0,0.575143807008537,0.478,0.087,0,"AT1G17920"
"AT1G76740",0,1.60643937075126,0.809,0.087,0,"AT1G76740"
"AT2G21780",0,0.781922490822441,0.481,0.087,0,"AT2G21780"
"AT4G21820",0,0.843622362810083,0.611,0.087,0,"AT4G21820"
"AT4G28600",1.27033512386322e-156,0.374362574521596,0.332,0.087,2.00712949570389e-152,"AT4G28600"
"AT1G03180",3.88248572960686e-151,0.318440442509528,0.326,0.087,6.13432745277884e-147,"AT1G03180"
"AT2G45720",4.05881600915119e-117,0.277603558533922,0.299,0.087,6.41292929445889e-113,"AT2G45720"
"AT1G29720",2.30859864498892e-109,0.28045464459236,0.297,0.087,3.64758585908249e-105,"AT1G29720"
"AT1G69160",6.62757635454376e-259,0.666543442904623,0.406,0.088,1.04715706401791e-254,"AT1G69160"
"AT1G61255",1.62796926143907e-214,1.07262095178708,0.379,0.088,2.57219143307372e-210,"AT1G61255"
"AT4G28230",1.42785442434922e-130,0.349059487067947,0.319,0.089,2.25600999047177e-126,"AT4G28230"
"AT5G37630",0,0.494369377116762,0.456,0.09,0,"AT5G37630"
"AT5G41900",2.75290091486884e-241,0.47211574346146,0.414,0.09,4.34958344549276e-237,"AT5G41900"
"AT4G00480",1.71560191628993e-208,0.657055197709043,0.381,0.09,2.7106510277381e-204,"AT4G00480"
"AT1G05440",0,1.00363966137155,0.587,0.091,0,"AT1G05440"
"AT4G12540",0,0.556929201616118,0.496,0.092,0,"AT4G12540"
"AT3G22760",2.35988516319294e-281,0.71290897654126,0.424,0.092,3.72861855784484e-277,"AT3G22760"
"AT2G04235",7.69249237584777e-251,0.439770431298469,0.405,0.092,1.21541379538395e-246,"AT2G04235"
"AT3G59420",2.00104243619124e-193,0.405956484828198,0.372,0.092,3.16164704918217e-189,"AT3G59420"
"AT5G15310",9.55026641613618e-92,0.271523878077397,0.293,0.092,1.50894209374952e-87,"AT5G15310"
"AT4G37330",4.48895315825763e-12,0.274255639219678,0.151,0.092,7.09254599004706e-08,"AT4G37330"
"AT1G47480",0,1.61017818560742,0.619,0.093,0,"AT1G47480"
"AT4G36120",0,1.0234541905046,0.684,0.093,0,"AT4G36120"
"AT5G66800",2.81107492680234e-220,0.809405999238539,0.394,0.093,4.44149838434769e-216,"AT5G66800"
"AT2G23530",2.6186721177304e-153,0.3694058579381,0.343,0.093,4.13750194601404e-149,"AT2G23530"
"AT2G05760",0,0.521179735615337,0.467,0.095,0,"AT2G05760"
