"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT1G62360","Chir02Ox-b03100.2","STM",1.91454529117982,0.584,0.002,0.992211979291536,1,0,0,"Yes","TALE","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance","GEP_5"
"AT3G21510","Chir03Ox-b21630.2","AHP1",1.02761505555102,0.461,0.004,0.621485276804564,9,0,0,NA,NA,"cytokinin-activated signaling pathway, cytoplasm, embryo sac development, histidine phosphotransfer kinase activity, multidimensional cell growth, nucleus, phosphorelay signal transduction system, phosphorylation, positive regulation of cell division, protein binding, protein histidine kinase binding, regulation of cytokinin-activated signaling pathway, signal transduction","GEP_5"
"AT4G08150","Chir08Ox-b10180.2","KNAT1",3.03393712991036,0.719,0.004,0.977690978947118,2,0,0,"Yes","TALE","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development","GEP_5"
"AT5G03840","Chir06Ox-b35090.2","TFL1",1.5172126225626,0.183,0.004,0.68442388759234,7,0,0,NA,NA,"cytoplasm, meristem determinacy, negative regulation of flower development, nucleus, plasma membrane, protein targeting to vacuole, response to sucrose, transcription coregulator activity, vacuole, vegetative to reproductive phase transition of meristem, vesicle","GEP_5"
"AT3G12500","Chir03Ox-b11670.2","ATHCHIB",2.0996441260236,0.325,0.01,0.443900011962721,14,0,0,NA,NA,"cell wall macromolecule catabolic process, chitinase activity, defense response to fungus, extracellular region, intracellular anatomical structure, jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway, plant-type vacuole, secretory vesicle, vacuole","GEP_5"
"AT1G13710","Chir01Ox-b13690.2","CYP78A5",2.96834366861685,0.655,0.014,0.843004509109133,3,0,0,NA,NA,"chloroplast, endoplasmic reticulum, floral organ development, heme binding, iron ion binding, leaf formation, organ growth, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, positive regulation of cell population proliferation, positive regulation of organ growth, regulation of growth rate, regulation of meristem growth","GEP_5"
"AT3G23290","Chir03Ox-b23410.2","LSH4",2.62315257990019,0.886,0.015,0.683791260305555,8,0,0,NA,NA,"mitochondrion, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","GEP_5"
"AT3G19200","Chir03Ox-b19030.2","MVI11.12",1.31322636232526,0.461,0.017,0.459446594345319,13,0,0,NA,NA,"defense response to other organism, molecular_function, nucleus","GEP_5"
"AT3G04510","Chir03Ox-b03760.2","LSH2",1.75778795953423,0.724,0.019,0.802840495602097,4,0,0,NA,NA,"chemical homeostasis, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","GEP_5"
"AT1G11580","Chir01Ox-b11440.2","ATPMEPCRA",2.10686325896651,0.321,0.025,0.191198495485494,31,0,0,NA,NA,"cell wall modification, enzyme inhibitor activity, extracellular region, membrane, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity, plant-type cell wall, plant-type vacuole, response to bacterium, rRNA N-glycosylase activity","GEP_5"
